ID	Pop
A.S629	AT
A.S631	AT
A.S632	AT
A.S633	AT
A.S634	AT
A.S635	AT
A.S636	AT
A.S637	AT
A.S638	AT
A.S639	AT
A.S640	AT
A.S641	AT
A.S642	AT
A.S643	AT
A.S644	AT
A.S645	AT
A.S646	AT
A.S647	AT
A.S659	AT
A.S660	AT
A.S661	AT
A.S662	AT
A.S663	AT
A.S664	AT
A.S665	AT
A.S667	AT
A.S668	AT
A.S669	AT
A.S670	AT
A.S671	AT
A.S672	AT
A.S673	AT
A.S674	AT
A.S675	AT
A.S676	AT
A.S679	AT
A.S936	AT
A.S937	AT
A.S938	AT
A.S939	AT
A.S943	AT
D.MH0001	DK
D.MH0002	DK
D.MH0005	DK
D.MH0006	DK
D.MH0008	DK
D.MH0009	DK
D.MH0011	DK
D.MH0013	DK
D.MH0015	DK
D.MH0017	DK
D.MH0019	DK
D.MH0021	DK
D.MH0022	DK
D.MH0024	DK
D.MH0027	DK
D.MH0028	DK
D.MH0031	DK
D.MH0035	DK
D.MH0037	DK
D.MH0038	DK
D.MH0039	DK
D.MH0040	DK
D.MH0041	DK
D.MH0042	DK
D.MH0043	DK
D.MH0044	DK
D.MH0045	DK
D.MH0046	DK
D.MH0048	DK
D.MH0050	DK
D.MH0051	DK
D.MH0054	DK
D.MH0056	DK
D.MH0058	DK
D.MH0060	DK
D.MH0064	DK
D.MH0065	DK
D.MH0066	DK
D.MH0067	DK
D.MH0068	DK
D.MH0070	DK
D.MH0071	DK
D.MH0074	DK
D.MH0077	DK
D.MH0079	DK
D.MH0080	DK
D.MH0082	DK
D.MH0086	DK
F.S001	FR
F.S003	FR
F.S024	FR
F.S025	FR
F.S027	FR
F.S030	FR
F.S040	FR
F.S053	FR
F.S105	FR
F.S110	FR
F.S115	FR
F.S116	FR
F.S118	FR
F.S121	FR
F.S129	FR
F.S132	FR
F.S139	FR
F.S142	FR
F.S152	FR
F.S156	FR
F.S166	FR
F.S169	FR
F.S173	FR
F.S187	FR
F.S192	FR
F.S193	FR
F.S194	FR
F.S195	FR
F.S198	FR
F.S212	FR
F.S213	FR
F.S221	FR
F.S276	FR
F.S294	FR
F.S305	FR
F.S316	FR
F.S349	FR
F.S393	FR
F.S398	FR
F.S399	FR
F.S400	FR
F.S460	FR
F.S542	FR
F.S558	FR
F.S568	FR
F.S684	FR
F.S696	FR
F.S716	FR
F.S719	FR
F.S721	FR
F.S726	FR
F.S730	FR
F.S751	FR
F.S759	FR
F.S902	FR
H.SRR1927149	HZ
H.SRR1929408	HZ
H.SRR1929484	HZ
H.SRR1929485	HZ
H.SRR1929563	HZ
H.SRR1929574	HZ
H.SRR1930121	HZ
H.SRR1930122	HZ
H.SRR1930123	HZ
H.SRR1930128	HZ
H.SRR1930132	HZ
H.SRR1930133	HZ
H.SRR1930134	HZ
H.SRR1930136	HZ
H.SRR1930138	HZ
H.SRR1930140	HZ
H.SRR1930141	HZ
H.SRR1930142	HZ
H.SRR1930143	HZ
H.SRR1930144	HZ
H.SRR1930145	HZ
H.SRR1930149	HZ
H.SRR1930176	HZ
H.SRR1930177	HZ
H.SRR1930179	HZ
H.SRR1930187	HZ
H.SRR1930244	HZ
J.AP01	JP
J.AP02	JP
J.AP03	JP
J.AP05	JP
J.AP06	JP
J.AP07	JP
J.AP08	JP
J.AP09	JP
J.AP10	JP
J.AP11	JP
J.AP12	JP
J.AP15	JP
J.AP16	JP
J.AP17	JP
J.AP18	JP
J.AP19	JP
J.AP21	JP
J.AP22	JP
J.AP23	JP
J.AP24	JP
J.AP25	JP
J.AP26	JP
J.AP27	JP
J.AP28	JP
J.AP30	JP
J.AP31	JP
J.AP32	JP
J.AP33	JP
J.AP34	JP
J.AP35	JP
J.AP36	JP
J.AP37	JP
J.AP38	JP
J.AP39	JP
J.AP40	JP
J.FA01	JP
J.FA02	JP
J.FA03	JP
J.FA05	JP
J.FA06	JP
J.FA07	JP
J.FA08	JP
J.FA09	JP
J.FA10	JP
J.FA11	JP
J.FA12	JP
J.FA13	JP
J.FA14	JP
J.FA15	JP
J.FA16	JP
J.FA17	JP
J.FA18	JP
J.FA19	JP
J.FA21	JP
J.FA22	JP
J.FA23	JP
J.FA24	JP
J.FA25	JP
J.FA26	JP
J.FA27	JP
J.FA28	JP
J.FA30	JP
J.FB01	JP
J.FB02	JP
J.FB04	JP
J.FB05	JP
J.FB06	JP
J.FB07	JP
J.FB08	JP
J.FB09	JP
J.FB10	JP
J.FM01	JP
J.FM02	JP
J.FM03	JP
J.FM04	JP
J.FM11	JP
J.FM14	JP
J.FM21	JP
J.FP01	JP
J.FP03	JP
J.FP04	JP
J.FP05	JP
J.FT01	JP
J.FT02	JP
J.FT03	JP
J.FT06	JP
J.FT07	JP
J.FT08	JP
J.FT09	JP
J.FT10	JP
J.FT12	JP
J.FT13	JP
J.FT14	JP
J.FT15	JP
J.FT16	JP
J.FT18	JP
J.FT19	JP
J.FT20	JP
J.FT21	JP
J.TS11	JP
J.TS21	JP
J.TS29	JP
J.TS33	JP
J.TS41	JP
P.SRR1761664	PE
P.SRR1761665	PE
P.SRR1761666	PE
P.SRR1761667	PE
P.SRR1761668	PE
P.SRR1761669	PE
P.SRR1761670	PE
P.SRR1761671	PE
P.SRR1761672	PE
P.SRR1761673	PE
P.SRR1761674	PE
P.SRR1761698	PE
P.SRR1761699	PE
P.SRR1761700	PE
P.SRR1761702	PE
P.SRR1761703	PE
P.SRR1761704	PE
P.SRR1761705	PE
P.SRR1761708	PE
P.SRR1761709	PE
P.SRR1761710	PE
P.SRR1761711	PE
P.SRR1761712	PE
P.SRR1761713	PE
P.SRR1761714	PE
P.SRR1761715	PE
P.SRR1761716	PE
P.SRR1761717	PE
P.SRR1761718	PE
P.SRR1761719	PE
P.SRR1761721	PE
S.ERR260147	SE
S.ERR260153	SE
S.ERR260170	SE
S.ERR260171	SE
S.ERR260180	SE
S.ERR260193	SE
S.ERR260205	SE
S.ERR260209	SE
S.ERR260215	SE
S.ERR260216	SE
S.ERR260217	SE
S.ERR260218	SE
S.ERR260221	SE
S.ERR260223	SE
S.ERR260225	SE
S.ERR260226	SE
S.ERR260227	SE
S.ERR260230	SE
S.ERR260231	SE
S.ERR260234	SE
S.ERR260242	SE
S.ERR260243	SE
S.ERR260246	SE
S.ERR260251	SE
S.ERR260252	SE
S.ERR260253	SE
S.ERR260255	SE
S.ERR260256	SE
S.ERR260259	SE
S.ERR260260	SE
S.ERR260263	SE
S.ERR260264	SE
S.ERR260265	SE
S.ERR260266	SE
S.ERR260267	SE
S.ERR260268	SE
A.SRS011061	US
A.SRS011134	US
A.SRS011239	US
A.SRS011271	US
A.SRS011302	US
A.SRS011405	US
A.SRS011452	US
A.SRS011529	US
A.SRS011586	US
A.SRS012273	US
A.SRS012902	US
A.SRS013158	US
A.SRS013215	US
A.SRS013476	US
A.SRS013521	US
A.SRS013687	US
A.SRS013800	US
A.SRS013951	US
A.SRS014235	US
A.SRS014287	US
A.SRS014313	US
A.SRS014459	US
A.SRS014613	US
A.SRS014683	US
A.SRS014923	US
A.SRS014979	US
A.SRS015065	US
A.SRS015133	US
A.SRS015190	US
A.SRS015217	US
A.SRS015264	US
A.SRS015369	US
A.SRS015578	US
A.SRS015663	US
A.SRS015782	US
A.SRS015794	US
A.SRS015854	US
A.SRS015960	US
A.SRS016018	US
A.SRS016056	US
A.SRS016095	US
A.SRS016203	US
A.SRS016267	US
A.SRS016335	US
A.SRS016495	US
A.SRS016517	US
A.SRS016585	US
A.SRS016753	US
A.SRS016954	US
A.SRS016989	US
A.SRS017103	US
A.SRS017191	US
A.SRS017247	US
A.SRS017307	US
A.SRS017433	US
A.SRS017521	US
A.SRS017701	US
A.SRS017821	US
A.SRS018133	US
A.SRS018313	US
A.SRS018351	US
A.SRS018427	US
A.SRS018575	US
A.SRS018656	US
A.SRS018817	US
A.SRS019030	US
A.SRS019161	US
A.SRS019267	US
A.SRS019397	US
A.SRS019582	US
A.SRS019601	US
A.SRS019685	US
A.SRS019787	US
A.SRS019910	US
A.SRS019968	US
A.SRS020233	US
A.SRS020328	US
A.SRS020869	US
A.SRS021484	US
A.SRS021948	US
A.SRS022071	US
A.SRS022137	US
A.SRS022524	US
A.SRS022609	US
A.SRS022713	US
A.SRS023176	US
A.SRS023346	US
A.SRS023526	US
A.SRS023583	US
A.SRS023829	US
A.SRS023914	US
A.SRS023971	US
A.SRS024009	US
A.SRS024075	US
A.SRS024132	US
A.SRS024265	US
A.SRS024331	US
A.SRS024388	US
A.SRS024435	US
A.SRS024549	US
A.SRS024625	US
A.SRS042284	US
A.SRS042628	US
A.SRS043001	US
A.SRS043411	US
A.SRS043701	US
A.SRS045004	US
A.SRS045645	US
A.SRS045713	US
A.SRS047014	US
A.SRS047044	US
A.SRS048164	US
A.SRS048870	US
A.SRS049164	US
A.SRS049712	US
A.SRS049900	US
A.SRS049959	US
A.SRS049995	US
A.SRS050299	US
A.SRS050422	US
A.SRS050752	US
A.SRS050925	US
A.SRS051031	US
A.SRS051882	US
A.SRS052027	US
A.SRS052697	US
A.SRS053214	US
A.SRS053335	US
A.SRS053398	US
A.SRS054590	US
A.SRS054956	US
A.SRS055982	US
A.SRS056259	US
A.SRS056519	US
A.SRS057478	US
A.SRS057717	US
A.SRS058723	US
A.SRS058770	US
A.SRS062427	US
A.SRS063040	US
A.SRS063985	US
A.SRS064276	US
A.SRS064557	US
A.SRS064645	US
A.SRS065504	US
A.SRS075398	US
A.SRS077730	US
A.SRS078176	US
E.SRR341653	CN
E.SRR341634	CN
E.SRR341704	CN
E.SRR341628	CN
E.SRR341697	CN
E.SRR341703	CN
E.SRR341626	CN
E.SRR341630	CN
E.SRR341631	CN
E.SRR341632	CN
E.SRR341650	CN
E.SRR341694	CN
E.SRR341698	CN
E.SRR341701	CN
E.SRR341629	CN
E.SRR341695	CN
E.SRR341696	CN
E.SRR341702	CN
E.SRR341722	CN
E.SRR341623	CN
E.SRR341699	CN
E.SRR341705	CN
E.SRR341640	CN
E.SRR341690	CN
E.SRR341721	CN
E.SRR341619	CN
E.SRR341621	CN
E.SRR341691	CN
E.SRR413563	CN
E.SRR341723	CN
E.SRR341700	CN
E.SRR341641	CN
E.SRR341709	CN
E.SRR341716	CN
E.SRR341616	CN
E.SRR341625	CN
E.SRR341639	CN
E.SRR341644	CN
E.SRR341647	CN
E.SRR341692	CN
E.SRR341708	CN
E.SRR341718	CN
E.SRR341637	CN
E.SRR341706	CN
E.SRR341715	CN
E.SRR341617	CN
E.SRR341622	CN
E.SRR341638	CN
E.SRR341624	CN
E.SRR341719	CN
E.SRR341633	CN
E.SRR341711	CN
E.SRR341724	CN
E.SRR341620	CN
E.SRR341707	CN
E.SRR341720	CN
E.SRR341710	CN
E.SRR341642	CN
E.SRR341717	CN
E.SRR341627	CN
E.SRR341643	CN
E.SRR341648	CN
E.SRR341649	CN
E.SRR341618	CN
E.SRR413655	CN
E.SRR341635	CN
E.SRR413668	CN
E.SRR341651	CN
E.SRR341714	CN
E.SRR413671	CN
E.SRR413672	CN
E.SRR413651	CN
E.SRR341725	CN
E.SRR413631	CN
E.SRR341712	CN
E.SRR413577	CN
E.SRR413669	CN
E.SRR413632	CN
E.SRR413633	CN
E.SRR1778456	CN
E.SRR341636	CN
E.SRR341652	CN
E.SRR413670	CN
E.SRR341646	CN
E.SRR341693	CN
E.SRR413634	CN
E.SRR413626	CN
E.SRR341713	CN
E.SRR341645	CN
E.SRR413615	CN
E.SRR413564	CN
E.SRR413557	CN
E.SRR413560	CN
E.SRR413562	CN
E.SRR413659	CN
E.SRR413640	CN
E.SRR413595	CN
E.SRR413589	CN
E.SRR413664	CN
E.SRR413628	CN
E.SRR413657	CN
E.SRR413602	CN
E.SRR413606	CN
E.SRR413620	CN
E.SRR413580	CN
E.SRR413623	CN
E.SRR413652	CN
E.SRR413593	CN
E.SRR413594	CN
E.SRR413581	CN
E.SRR413607	CN
chC193	CN2
chC195	CN2
chC203	CN2
chC205	CN2
chC209	CN2
chC217	CN2
chC232	CN2
chC233	CN2
chC234	CN2
chC235	CN2
chC236	CN2
chC237	CN2
chC238	CN2
chC239	CN2
chC240	CN2
chC242	CN2
chC243	CN2
chC244	CN2
chC245	CN2
chC246	CN2
chC247	CN2
chC248	CN2
chC249	CN2
chC250	CN2
chC251	CN2
chC252	CN2
chC253	CN2
chC254	CN2
chC255	CN2
chC256	CN2
chC257	CN2
chC258	CN2
chC259	CN2
chC260	CN2
chC261	CN2
chC262	CN2
chC263	CN2
chC264	CN2
chC265	CN2
chC266	CN2
chC267	CN2
chC268	CN2
chC269	CN2
chC270	CN2
chC271	CN2
chC272	CN2
chC273	CN2
chC274	CN2
chC275	CN2
chC276	CN2
chC277	CN2
chC278	CN2
chC308	CN2
chC309	CN2
USAFC17603756	US2
USAFC20257302	US2
USAFC25211151	US2
USAFC38861560	US2
USAFC38954404	US2
USAFC39415781	US2
USAFC40913371	US2
USAFC51307502	US2
USAFC61683006	US2
USAFC62192467	US2
USAFC64281551	US2
USAFC84159866	US2
USAFC88581325	US2
USAFC92546335	US2
USAFC95674036	US2
USAMC11288076	US2
USAMC11932626	US2
USAMC17963147	US2
USAMC21365932	US2
USAMC29805707	US2
USAMC32573774	US2
USAMC33294861	US2
USAMC34569532	US2
USAMC35808664	US2
USAMC36405092	US2
USAMC39582183	US2
USAMC51737257	US2
USAMC54246132	US2
USAMC56137463	US2
USAMC57276462	US2
USAMC57569834	US2
USAMC62666492	US2
USAMC65742083	US2
USAMC65862658	US2
USAMC66868025	US2
USAMC67096717	US2
USAMC68630931	US2
USAMC73787048	US2
USAMC79893829	US2
USAMC81130264	US2
USAMC81135225	US2
USAMC84085284	US2
USAMC85438660	US2
USAMC85548821	US2
USAMC86168210	US2
USAMC87723283	US2
USAMC91297590	US2
USAMC93621581	US2
USAMC94549160	US2
USAMC95277876	US2
USAMC95479054	US2
USAMC97307143	US2
GERR10032470	DE
GERR10191450	DE
GERR15562448	DE
GERR17410933	DE
GERR18579000	DE
GERR18829815	DE
GERR22852639	DE
GERR23541216	DE
GERR25475945	DE
GERR26625622	DE
GERR27867141	DE
GERR28738636	DE
GERR29706695	DE
GERR30626189	DE
GERR30627121	DE
GERR31009081	DE
GERR31134579	DE
GERR32288175	DE
GERR32965613	DE
GERR35081859	DE
GERR35801800	DE
GERR37575804	DE
GERR38158721	DE
GERR39157124	DE
GERR39882286	DE
GERR41202658	DE
GERR41521570	DE
GERR45004878	DE
GERR45812507	DE
GERR46727384	DE
GERR49025643	DE
GERR49942357	DE
GERR50300306	DE
GERR50529145	DE
GERR50538120	DE
GERR51154251	DE
GERR51228890	DE
GERR53508245	DE
GERR53522274	DE
GERR54057834	DE
GERR56948710	DE
GERR59540613	DE
GERR66848156	DE
GERR67373733	DE
GERR68973846	DE
GERR72666896	DE
GERR73128545	DE
GERR74592084	DE
GERR75147712	DE
GERR76409700	DE
GERR85481373	DE
GERR85661207	DE
GERR89107682	DE
GERR89643949	DE
GERR89967135	DE
GERR93755960	DE
GERR98198513	DE
GERR98702133	DE
GERR99440714	DE
GERR99929634	DE
