Genus	hit	none
Abiotrophia	1	0
Acaryochloris	1	0
Acetobacter	1	0
Acetohalobium	1	0
Acholeplasma	1	0
Achromobacter	1	0
Acidaminococcus	2	0
Acidimicrobium	1	0
Acidiphilium	1	0
Acidithiobacillus	2	0
Acidobacterium	1	0
Acidothermus	1	0
Acidovorax	5	0
Acinetobacter	12	12
Actinobacillus	3	1
Actinomyces	4	1
Actinosynnema	1	0
Aerococcus	1	0
Aeromicrobium	1	0
Aeromonas	2	0
Afipia	1	0
Aggregatibacter	2	1
Agrobacterium	1	0
Akkermansia	1	0
Alcanivorax	2	0
Algoriphagus	1	0
Alicycliphilus	1	0
Aliivibrio	1	0
Alistipes	1	0
Alkalilimnicola	1	0
Alkaliphilus	2	0
Allochromatium	1	0
Alloprevotella	1	0
Aminobacterium	1	0
Ammonifex	1	0
Amycolatopsis	1	0
Anabaena	1	0
Anaerobaculum	1	0
Anaerococcus	5	0
Anaerofustis	1	0
Anaeromyxobacter	3	0
Anaerostipes	1	0
Anaerotruncus	1	0
Anaplasma	3	0
Anoxybacillus	1	0
Aquifex	1	0
Arcanobacterium	1	0
Arcobacter	2	0
Aromatoleum	1	0
Arthrobacter	1	0
Arthrospira	3	0
Asticcacaulis	1	0
Atopobium	3	0
Aurantimonas	1	0
Azoarcus	1	0
Azorhizobium	1	0
Azospirillum	1	0
Azotobacter	1	0
Bacillus	19	62
Bacteroides	32	6
Bartonella	5	0
Basfia	1	0
Bdellovibrio	1	0
Beggiatoa	2	0
Beijerinckia	1	0
Bermanella	1	0
Beutenbergia	1	0
Bifidobacterium	10	6
Blastopirellula	1	0
Blattabacterium	1	0
Blautia	5	0
Bordetella	5	0
Borrelia	4	1
Borreliella	4	3
Brachybacterium	1	0
Brachyspira	3	0
Bradyrhizobium	3	0
Brevibacillus	1	0
Brevibacterium	2	0
Brevundimonas	2	0
Brucella	8	4
Buchnera	1	3
Bulleidia	1	0
Burkholderia	16	5
Butyrivibrio	1	0
Caldanaerobacter	1	1
Caldicellulosiruptor	2	0
Caminibacter	1	0
Campylobacter	10	7
Candidatus Accumulibacter	1	0
Candidatus Amoebophilus	1	0
Candidatus Atelocyanobacterium	1	0
Candidatus Azobacteroides	1	0
Candidatus Blochmannia	2	0
Candidatus Carsonella	1	0
Candidatus Cloacimonas	1	0
Candidatus Desulforudis	1	0
Candidatus Endoriftia	1	0
Candidatus Hamiltonella	1	0
Candidatus Hodgkinia	1	0
Candidatus Koribacter	1	0
Candidatus Liberibacter	1	0
Candidatus Pelagibacter	1	0
Candidatus Phytoplasma	4	0
Candidatus Protochlamydia	1	0
Candidatus Puniceispirillum	1	0
Candidatus Riesia	1	0
Candidatus Ruthia	1	0
Candidatus Solibacter	1	0
Candidatus Sulcia	1	2
Capnocytophaga	3	0
Carboxydothermus	1	0
Cardiobacterium	1	0
Carnobacterium	1	0
Catenibacterium	1	0
Catenulispora	1	0
Catonella	1	0
Caulobacter	3	0
Cellulomonas	1	0
Cellulosilyticum	1	0
Cellvibrio	1	0
Chelativorans	1	0
Chitinophaga	1	0
Chlamydia	6	11
Chlorobaculum	2	0
Chlorobium	5	1
Chloroflexus	3	0
Chloroherpeton	1	0
Chromobacterium	1	0
Chromohalobacter	1	0
Chryseobacterium	1	0
Chthoniobacter	1	0
Citreicella	1	0
Citrobacter	4	0
Citromicrobium	1	0
Clavibacter	1	0
Clostridium	16	16
Coleofasciculus	1	0
Collinsella	3	0
Colwellia	1	0
Comamonas	1	1
Conexibacter	1	0
Congregibacter	1	0
Coprobacillus	1	0
Coprococcus	2	0
Coprothermobacter	1	0
Coraliomargarita	1	0
Corynebacterium	18	2
Coxiella	1	1
Croceibacter	1	0
Crocosphaera	1	0
Cronobacter	2	0
Cryptobacterium	1	0
Cupriavidus	3	0
Cyanobium	1	0
Cyanothece	7	0
Cylindrospermopsis	1	0
Cytophaga	1	0
Dechloromonas	1	0
Deferribacter	1	0
Dehalococcoides	1	3
Dehalogenimonas	1	0
Deinococcus	3	0
Delftia	1	0
Denitrovibrio	1	0
Desulfarculus	1	0
Desulfatibacillum	1	0
Desulfitobacterium	1	0
Desulfobacterium	1	0
Desulfococcus	1	0
Desulfohalobium	1	0
Desulfomicrobium	1	0
Desulfonatronospira	1	0
Desulfotalea	1	0
Desulfotomaculum	2	0
Desulfovibrio	9	3
Desulfurispirillum	1	0
Desulfurivibrio	1	0
Desulfuromonas	1	0
Dethiobacter	1	0
Dethiosulfovibrio	1	0
Dialister	1	0
Dichelobacter	1	0
Dickeya	2	0
Dictyoglomus	2	0
Dinoroseobacter	1	0
Diplosphaera	1	0
Dokdonia	1	0
Dorea	2	0
Dyadobacter	1	0
Edwardsiella	2	2
Eggerthella	1	0
Ehrlichia	3	1
Eikenella	1	0
Elusimicrobium	1	0
Enhydrobacter	1	0
Enterobacter	3	0
Enterococcus	4	25
Epulopiscium	1	0
Erwinia	4	1
Erysipelatoclostridium	2	0
Erysipelothrix	1	0
Erythrobacter	3	0
Escherichia	6	33
Ethanoligenens	1	0
Eubacterium	3	0
Exiguobacterium	2	0
Faecalibacterium	1	1
Fervidobacterium	1	0
Fibrobacter	1	0
Filifactor	1	0
Finegoldia	1	2
Flavobacterium	2	0
Francisella	1	1
Frankia	6	0
Fulvimarina	1	0
Fusobacterium	7	12
Gardnerella	1	3
Gemella	1	0
Gemmata	1	0
Gemmatimonas	1	0
Geobacillus	9	0
Geobacter	8	0
Geodermatophilus	1	0
Gimesia	1	0
Glaciecola	1	0
Gloeobacter	1	0
Gluconacetobacter	1	0
Gluconobacter	1	0
Gordonia	1	0
Gramella	1	0
Granulibacter	1	0
Granulicatella	2	0
Granulicella	2	0
Grimontia	1	0
Haemophilus	2	3
Hahella	1	0
Halorhodospira	1	0
Halothermothrix	1	0
Halothiobacillus	1	0
Helicobacter	9	7
Heliobacterium	1	0
Herbaspirillum	1	0
Herminiimonas	1	0
Herpetosiphon	1	0
Hirschia	1	0
Histophilus	1	0
Hoeflea	1	0
Holdemanella	1	0
Holdemania	1	0
Hungatella	1	0
Hydrogenivirga	1	0
Hydrogenobacter	1	0
Hydrogenobaculum	2	0
Hyphomicrobium	1	0
Hyphomonas	1	0
Idiomarina	2	0
Intestinibacter	1	0
Janibacter	1	0
Jannaschia	1	0
Janthinobacterium	1	0
Jonesia	1	0
Jonquetella	1	0
Kamptonema	1	0
Kangiella	1	0
Kineococcus	1	0
Kingella	1	0
Klebsiella	3	0
Kocuria	1	0
Komagataeibacter	1	1
Kordia	1	0
Kosmotoga	1	0
Kribbella	1	0
Ktedonobacter	1	0
Kyrpidia	1	0
Kytococcus	1	0
Labrenzia	2	0
Lachnoclostridium	6	0
Lactobacillus	25	31
Lactococcus	1	2
Laribacter	1	0
Lawsonia	1	0
Leeuwenhoekiella	1	0
Legionella	3	2
Leifsonia	1	0
Lentisphaera	1	0
Leptolyngbya	1	0
Leptospira	2	0
Leptothrix	1	0
Leptotrichia	3	0
Leuconostoc	4	0
Limnobacter	1	0
Listeria	5	13
Loktanella	1	0
Luminiphilus	1	0
Lyngbya	1	0
Lysinibacillus	2	0
Macrococcus	1	0
Mageeibacillus	1	0
Magnetococcus	1	0
Magnetospirillum	2	0
Mannheimia	1	0
Maribacter	1	0
Maricaulis	1	0
Marinitoga	1	0
Marinobacter	3	0
Mariprofundus	1	0
Maritimibacter	1	0
Marvinbryantia	1	0
Megasphaera	1	0
Meiothermus	2	0
Mesoplasma	1	0
Mesorhizobium	2	0
Methanosphaera	1	0
Methylacidiphilum	1	0
Methylibium	1	0
Methylobacillus	1	0
Methylobacterium	5	2
Methylocella	1	0
Methylococcus	1	0
Methylophaga	1	0
Methylosinus	1	0
Methylotenera	2	0
Methylovorus	1	0
Micrococcus	1	1
Microcystis	1	0
Micromonospora	2	0
Microscilla	1	0
Mitsuokella	1	0
Mobiluncus	2	3
Moorella	1	0
Moraxella	1	0
Moritella	1	0
Mycobacterium	14	6
Mycoplasma	15	2
Myxococcus	1	0
Nakamurella	1	0
Natranaerobius	1	0
Nautilia	1	0
Neisseria	11	6
Neorickettsia	2	0
Neptuniibacter	1	0
Nitratiruptor	1	0
Nitrobacter	3	0
Nitrococcus	1	0
Nitrosococcus	2	0
Nitrosomonas	3	0
Nitrosospira	1	0
Nitrospira	1	0
Nocardia	1	0
