refID	APD3	CAMP	DBAASP	dbAMP	DRAMP	LAMP2	SATPdb
fAMP0000320	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001469	antimicrobial	antifungi	NA	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000147	antimicrobial	antibacterial	antibacterial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000047	antimicrobial	antibacterial	antibacterial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000982	antimicrobial	antibacterial	antimicrobial	antimicrobial	NA	antibacterial	antimicrobial
fAMP0001198	antimicrobial	NA	antibacterial	antimicrobial	antibacterial	antimicrobial	antimicrobial
fAMP0000191	antimicrobial	antibacterial	antibacterial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0002421	antimicrobial	NA	NA	antimicrobial	antibacterial	antimicrobial	antimicrobial
fAMP0000275	antimicrobial	antibacterial	antibacterial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000545	antimicrobial	antibacterial	antibacterial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000091	antimicrobial	antibacterial	antibacterial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000106	antimicrobial	antibacterial	antibacterial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000157	antimicrobial	antibacterial	antibacterial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000132	antimicrobial	antibacterial	antimicrobial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000126	antimicrobial	NA	antimicrobial	antifungi	NA	antimicrobial	antimicrobial
fAMP0001731	antimicrobial	antibacterial	NA	antibacterial	antibacterial	antibacterial	antibacterial
fAMP0001628	antimicrobial	antibacterial	antibacterial	antibacterial	NA	antibacterial	antibacterial
fAMP0000591	antimicrobial	antibacterial	antibacterial	antibacterial	antibacterial	antibacterial	antibacterial
fAMP0000158	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antibacterial	antimicrobial
fAMP0000599	antimicrobial	antibacterial	NA	antimicrobial	antimicrobial	antimicrobial	antibacterial
fAMP0000542	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001005	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000484	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000894	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000554	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0002004	antimicrobial	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	NA
fAMP0000034	antimicrobial	antibacterial	antimicrobial	antimicrobial	antimicrobial	antibacterial	antibacterial
fAMP0000463	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001025	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000189	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000231	antimicrobial	antibacterial	antimicrobial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000196	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antibacterial	antimicrobial	antibacterial
fAMP0000108	antimicrobial	antibacterial	antimicrobial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000120	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0002451	antimicrobial	antibacterial	NA	antibacterial	antibacterial	antibacterial	NA
fAMP0000049	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000651	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001050	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antibacterial	antimicrobial	antimicrobial
fAMP0000979	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000841	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0006361	antimicrobial	NA	NA	NA	NA	antimicrobial	antibacterial
fAMP0000672	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000843	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001707	antimicrobial	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001999	antimicrobial	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	NA
fAMP0001199	antimicrobial	antibacterial	antibacterial	antimicrobial	antimicrobial	antibacterial	NA
fAMP0000167	antimicrobial	antibacterial	antibacterial	antimicrobial	antimicrobial	antibacterial	antimicrobial
fAMP0000267	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000062	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000140	antimicrobial	antibacterial	antimicrobial	antimicrobial	antimicrobial	NA	antimicrobial
fAMP0000044	antimicrobial	antibacterial	antimicrobial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000155	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000073	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000428	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000294	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000882	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	NA	antimicrobial
fAMP0000114	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000977	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000445	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000207	antimicrobial	antifungi	antimicrobial	antimicrobial	antimicrobial	antifungi	antimicrobial
fAMP0002323	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	NA	NA
fAMP0000561	antimicrobial	antifungi	antimicrobial	antimicrobial	antimicrobial	antifungi	antimicrobial
fAMP0000051	antimicrobial	antibacterial	antimicrobial	antimicrobial	antimicrobial	antibacterial	antibacterial
fAMP0000702	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0003597	antimicrobial	NA	NA	antifungi	NA	antimicrobial	antimicrobial
fAMP0000598	antimicrobial	antimicrobial	antibacterial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001334	antimicrobial	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000229	antimicrobial	antibacterial	antimicrobial	antimicrobial	antimicrobial	antibacterial	antimicrobial
fAMP0001589	antimicrobial	antibacterial	antibacterial	antimicrobial	antimicrobial	NA	antimicrobial
fAMP0000620	antimicrobial	antimicrobial	antibacterial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001006	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000226	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000711	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001471	antimicrobial	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000830	antimicrobial	antifungi	antifungi	antimicrobial	antimicrobial	antifungi	antimicrobial
fAMP0001269	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	antifungi	antimicrobial
fAMP0000293	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000781	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000023	antimicrobial	antibacterial	antimicrobial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000607	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001128	antimicrobial	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000270	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000014	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antibacterial	antibacterial
fAMP0000070	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000115	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000089	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0003804	antimicrobial	NA	NA	antimicrobial	antibacterial	NA	antimicrobial
fAMP0000152	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000187	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0002453	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	NA	antimicrobial
fAMP0000387	antimicrobial	antimicrobial	antibacterial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001383	antimicrobial	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000454	antimicrobial	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001049	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0003140	antimicrobial	NA	NA	antifungi	NA	antimicrobial	antimicrobial
fAMP0000349	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001209	antimicrobial	antibacterial	NA	antimicrobial	NA	antibacterial	antimicrobial
fAMP0002026	antimicrobial	NA	NA	antifungi	NA	antimicrobial	antimicrobial
fAMP0001520	antimicrobial	NA	NA	antimicrobial	antibacterial	antimicrobial	antimicrobial
fAMP0000764	antimicrobial	antibacterial	antibacterial	antimicrobial	antimicrobial	antibacterial	antimicrobial
fAMP0001935	antimicrobial	NA	NA	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0005162	antimicrobial	NA	NA	antifungi	NA	antimicrobial	NA
fAMP0001584	antimicrobial	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0001395	antimicrobial	antibacterial	NA	antimicrobial	antimicrobial	antibacterial	antimicrobial
fAMP0000263	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000281	antimicrobial	antibacterial	antimicrobial	antimicrobial	antimicrobial	antibacterial	antimicrobial
fAMP0001828	antimicrobial	NA	antibacterial	antifungi	NA	antimicrobial	antibacterial
fAMP0000190	antimicrobial	antibacterial	antimicrobial	antimicrobial	antimicrobial	antibacterial	antimicrobial
fAMP0000061	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000995	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0002618	antimicrobial	NA	NA	antifungi	NA	antimicrobial	antimicrobial
fAMP0000397	antimicrobial	antibacterial	antimicrobial	antimicrobial	antimicrobial	antibacterial	antibacterial
fAMP0000654	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000998	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000522	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000784	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000669	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000860	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000584	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000074	antimicrobial	antibacterial	antimicrobial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0001267	antimicrobial	antimicrobial	antibacterial	antimicrobial	antimicrobial	antimicrobial	NA
fAMP0001285	antimicrobial	antibacterial	NA	antimicrobial	antibacterial	antimicrobial	antibacterial
fAMP0000259	antimicrobial	antibacterial	antibacterial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0000084	antimicrobial	antibacterial	antimicrobial	antimicrobial	antibacterial	antibacterial	antimicrobial
fAMP0001145	antimicrobial	antibacterial	antibacterial	antimicrobial	antibacterial	antibacterial	NA
fAMP0001078	antimicrobial	antibacterial	antibacterial	antimicrobial	antibacterial	antibacterial	NA
fAMP0001530	antimicrobial	antimicrobial	NA	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000222	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000321	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000182	antimicrobial	antibacterial	antimicrobial	antimicrobial	antibacterial	antibacterial	antibacterial
fAMP0000431	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
fAMP0000328	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial	antimicrobial
