refID	GeneID	reference
fAMP0000001	AP01007	1
fAMP0000002	DBAASP21	1
fAMP0000003	DBAASP108	1
fAMP0000004	DBAASP16380	1
fAMP0000005	DBAASP7968	1
fAMP0000006	AP00608	1
fAMP0000007	DBAASP8724	1
fAMP0000008	DBAASP11019	1
fAMP0000009	DBAASP8576	1
fAMP0000010	DBAASP18712	1
fAMP0000011	DBAASP7914	1
fAMP0000012	DBAASP5089	1
fAMP0000013	DBAASP10360	1
fAMP0000014	AP00210	1
fAMP0000015	DBAASP8647	1
fAMP0000016	DBAASP7702	1
fAMP0000017	DBAASP9253	1
fAMP0000018	AP00214	1
fAMP0000019	DBAASP8674	1
fAMP0000020	DBAASP18667	1
fAMP0000021	DBAASP16248	1
fAMP0000022	DBAASP18	1
fAMP0000023	AP00195	1
fAMP0000024	DBAASP9255	1
fAMP0000025	AP01467	1
fAMP0000026	DBAASP10000	1
fAMP0000027	DBAASP7490	1
fAMP0000028	DBAASP6938	1
fAMP0000029	DBAASP4493	1
fAMP0000030	AP00130	1
fAMP0000031	DBAASP2928	1
fAMP0000032	DBAASP9370	1
fAMP0000033	AP00447	1
fAMP0000034	AP00073	1
fAMP0000035	AP00240	1
fAMP0000036	AP01172	1
fAMP0000037	AP00634	1
fAMP0000038	AP01958	1
fAMP0000039	DBAASP8716	1
fAMP0000040	AP01269	1
fAMP0000041	AP00008	1
fAMP0000042	DBAASP5324	1
fAMP0000043	DBAASP14605	1
fAMP0000044	AP00150	1
fAMP0000045	AP00201	1
fAMP0000046	DBAASP7688	1
fAMP0000047	AP00013	1
fAMP0000048	DBAASP4798	1
fAMP0000049	AP00112	1
fAMP0000050	AP00007	1
fAMP0000051	AP00166	1
fAMP0000052	AP00595	1
fAMP0000053	AP01183	1
fAMP0000054	AP00676	1
fAMP0000055	AP00139	1
fAMP0000056	AP02671	1
fAMP0000057	AP00253	1
fAMP0000058	AP00057	1
fAMP0000059	AP00707	1
fAMP0000060	AP00134	1
fAMP0000061	AP00283	1
fAMP0000062	AP00144	1
fAMP0000063	DBAASP7822	1
fAMP0000064	AP00172	1
fAMP0000065	AP00473	1
fAMP0000066	DBAASP7428	1
fAMP0000067	AP01607	1
fAMP0000068	AP02882	1
fAMP0000069	DBAASP7432	1
fAMP0000070	AP00211	1
fAMP0000071	AP00804	1
fAMP0000072	AP00538	1
fAMP0000073	AP00152	1
fAMP0000074	AP00310	1
fAMP0000075	AP02378	1
fAMP0000076	AP00510	1
fAMP0000077	AP01649	1
fAMP0000078	DBAASP7591	1
fAMP0000079	AP01980	1
fAMP0000080	AP02235	1
fAMP0000081	DBAASP18332	1
fAMP0000082	AP01389	1
fAMP0000083	AP02179	1
fAMP0000084	AP00351	1
fAMP0000085	AP00163	1
fAMP0000086	AP00636	1
fAMP0000087	AP01357	1
fAMP0000088	AP00556	1
fAMP0000089	AP00215	1
fAMP0000090	AP00519	1
fAMP0000091	AP00020	1
fAMP0000092	AP00396	1
fAMP0000093	DBAASP24	1
fAMP0000094	AP00493	1
fAMP0000095	AP01459	1
fAMP0000096	AP00763	1
fAMP0000097	AP01636	1
fAMP0000098	AP00230	1
fAMP0000099	AP01152	1
fAMP0000100	AP00485	1
fAMP0000101	AP00055	1
fAMP0000102	AP02355	1
fAMP0000103	DBAASP1124	1
fAMP0000104	DBAASP904	1
fAMP0000105	DBAASP9590	1
fAMP0000106	AP00021	1
fAMP0000107	AP01223	1
fAMP0000108	AP00101	1
fAMP0000109	AP00492	1
fAMP0000110	AP00170	1
fAMP0000111	AP00339	1
fAMP0000112	DBAASP7580	1
fAMP0000113	AP00213	1
fAMP0000114	AP00156	1
fAMP0000115	AP00212	1
fAMP0000116	AP00262	1
fAMP0000117	DBAASP11680	1
fAMP0000118	DBAASP7434	1
fAMP0000119	AP00762	1
fAMP0000120	AP00102	1
fAMP0000121	DBAASP1363	1
fAMP0000122	AP01617	1
fAMP0000123	AP00496	1
fAMP0000124	DBAASP5096	1
fAMP0000125	DBAASP2112	1
fAMP0000126	AP00027	1
fAMP0000127	DBAASP6676	1
fAMP0000128	AP01239	1
fAMP0000129	AP01331	1
fAMP0000130	AP01465	1
fAMP0000131	AP01521	1
fAMP0000132	AP00026	1
fAMP0000133	AP00386	1
fAMP0000134	AP01346	1
