name	side	R1_mean	R1_sd	R2_mean	R2_sd	pairs
T0A01	1	7	0	324.13026166097836	3.638204043290993	pair1
T0A01	2	256.93033016228316	0.5986441025790542	1401	0	pair2
T0A02	1	7	0	324.72358828617325	1.7534186295015053	pair1
T0A02	2	257	0	561	0	pair2
T0A03	1	7	0	323.7418972757618	3.9989543077753873	pair1
T0A03	2	243.3530701754386	5.209223289821728	561	0	pair2
T0A04	1	7	0	324.58844110405596	2.254449231126882	pair1
T0A04	2	257.01728222996513	0.8880661105519932	561	0	pair2
T0A05	1	7	0	322.7230833246645	5.25295279712982	pair1
T0A05	2	244.01736476531258	5.112893846677561	561	0	pair2
T0A06	1	7	0	322.2134222592747	5.7023523593078265	pair1
T0A06	2	146.8965552178318	114.57965284893834	561	0	pair2
T0A07	1	7	0	324.20806650938096	3.383081847854685	pair1
T0A07	2	246.02546360365346	0.49402165691258115	561	0	pair2
T0A08	1	7	0	324.32134181607864	3.0579644768477654	pair1
T0A08	2	257	0	561	0	pair2
T0B01	1	7	0	324.1699595868882	2.836684916664352	pair1
T0B01	2	257	0	561	0	pair2
T0B02	1	7	0	322.30311231393773	6.021452876774996	pair1
T0B02	2	242.75982716830015	5.021933827027535	561	0	pair2
T0B03	1	7	0	324.5347296177967	2.0163989478338955	pair1
T0B03	2	257	0	561	0	pair2
T0B04	1	7	0	323.4283554691718	4.456263505837064	pair1
T0B04	2	256.8385242614624	2.297084216299204	561	0	pair2
T0B05	1	7	0	322.90152537096606	6.160907531220119	pair1
T0B05	2	251.28398853398852	8.500556873854253	561	0	pair2
T0B06	1	7	0	321.81188324504	6.087681926649486	pair1
T0B06	2	31.34641751437417	4.157675160067623	561	0	pair2
T0B07	1	7	0	324.4256882874475	3.809390105236992	pair1
T0B07	2	42.01790820165538	0.4525778933497722	561	0	pair2
T0B08	1	7	0	323.6025931928687	4.7513302513596685	pair1
T0B08	2	243.13204169737813	4.436702865876963	561	0	pair2
T0C01	1	7	0	324.52294916395465	2.9590367759666574	pair1
T0C01	2	42.034772640427974	0.5183888648302747	561	0	pair2
T0C02	1	7	0	325.1601897876186	2.4834976957024892	pair1
T0C02	2	257	0	561	0	pair2
T0C03	1	7	0	324.24569012251976	3.5891119804660145	pair1
T0C03	2	257.0028014771425	0.6701117188035882	561	0	pair2
T0C04	1	7	0	324.62663354573925	3.7559238465654543	pair1
T0C04	2	243.61223633119948	4.348608032255507	561	0	pair2
T0C05	1	7	0	324.33226113890873	3.1634515444689093	pair1
T0C05	2	256.9545883304137	1.2984386366608842	561	0	pair2
T0C06	1	7	0	324.36223050005646	3.5684545608336005	pair1
T0C06	2	181.74427521567793	4.198030012470514	561	0	pair2
T0C07	1	7	0	324.4362225379823	4.2648956517482235	pair1
T0C07	2	169.79482741065064	93.47307222883711	561	0	pair2
T0C08	1	7	0	325.16823141334686	1.7324143200928115	pair1
T0C08	2	42	0	561	0	pair2
T0D01	1	7	0	325.17826398852225	1.6228521854946514	pair1
T0D01	2	251	0	561	0	pair2
T0D02	1	7	0	322.2559801180491	6.92471362416801	pair1
T0D02	2	243.58188009493344	5.673392883049395	561	0	pair2
T0D03	1	7	0	324.3024526328025	3.9725724719391966	pair1
T0D03	2	220.9752130131681	4.191446206899076	561	0	pair2
T0D04	1	7	0	324.63963302752296	3.107335986672396	pair1
T0D04	2	257.02279988382224	0.4697718691449377	561	0	pair2
T0D05	1	7	0	325.4886840877275	2.651717717870603	pair1
T0D05	2	247.67154199749268	4.16468688710606	561	0	pair2
T0D06	1	7	0	324.55892295139296	2.7177165534884282	pair1
T0D06	2	257.0422535211268	0.5262666245142258	561	0	pair2
T0D07	1	7	0	322.5984300764305	6.0149651209440185	pair1
T0D07	2	245.9332306111967	5.198569842303651	561	0	pair2
T0D08	1	7	0	324.2872375874708	3.389661143232601	pair1
T0D08	2	39.0407181789035	4.414034304676872	561	0	pair2
T0E01	1	7	0	324.6700226244344	3.7249970633563256	pair1
