ID	J.AP01	J.AP02	J.AP03	J.AP05	J.AP06	J.AP07	J.AP08	J.AP09	J.AP10	J.AP11	J.AP12	J.AP15	J.AP16	J.AP17	J.AP18	J.AP19	J.AP21	J.AP22	J.AP23	J.AP24	J.AP25	J.AP26	J.AP27	J.AP28	J.AP30	J.AP31	J.AP32	J.AP33	J.AP34	J.AP35	J.AP36	J.AP37	J.AP38	J.AP39	J.AP40	J.FA01	J.FA02	J.FA03	J.FA05	J.FA06	J.FA07	J.FA08	J.FA09	J.FA10	J.FA11	J.FA12	J.FA13	J.FA14	J.FA15	J.FA16	J.FA17	J.FA18	J.FA19	J.FA21	J.FA22	J.FA23	J.FA25	J.FA26	J.FA27	J.FA28	J.FA29	J.FA30	J.FB01	J.FB02	J.FB04	J.FB05	J.FB06	J.FB07	J.FB08	J.FB09	J.FB10	J.FM01	J.FM02	J.FM03	J.FM04	J.FM11	J.FM14	J.FM21	J.FP01	J.FP02	J.FP03	J.FP04	J.FP05	J.FT01	J.FT02	J.FT03	J.FT06	J.FT07	J.FT08	J.FT09	J.FT10	J.FT12	J.FT13	J.FT14	J.FT15	J.FT16	J.FT17	J.FT18	J.FT19	J.FT20	J.FT21	J.TS11	J.TS21	J.TS29	J.TS33	J.TS41	
A__RNA_processing_and_modification	0.00000283	0.00000245	0.00000154	0.00000709	0.00001742	0.00003613	0.00010724	0.00000468	0.00001355	0.00001770	0.00000000	0.00000370	0.00000552	0.00000684	0.00001695	0.00001760	0.00002755	0.00001446	0.00010436	0.00000000	0.00000000	0.00004913	0.00003227	0.00013086	0.00003868	0.00000000	0.00010230	0.00000000	0.00010215	0.00000000	0.00002009	0.00000000	0.00002463	0.00002027	0.00012165	0.00003301	0.00001092	0.00001714	0.00000543	0.00000000	0.00005637	0.00001150	0.00000000	0.00001695	0.00005280	0.00009468	0.00003422	0.00006164	0.00003352	0.00008436	0.00004902	0.00010947	0.00000704	0.00008938	0.00001981	0.00001345	0.00006022	0.00003040	0.00000000	0.00000000	0.00003657	0.00005228	0.00003348	0.00008137	0.00001008	0.00001164	0.00000000	0.00009987	0.00003172	0.00006704	0.00015775	0.00001576	0.00000000	0.00000000	0.00000000	0.00007620	0.00003017	0.00005572	0.00011473	0.00000000	0.00001229	0.00003578	0.00001985	0.00001138	0.00000000	0.00014161	0.00001185	0.00004867	0.00003988	0.00001285	0.00000000	0.00000000	0.00007534	0.00005110	0.00000000	0.00002772	0.00000000	0.00000000	0.00002356	0.00000453	0.00006111	0.00003816	0.00000000	0.00009150	0.00002585	0.00006028	
B__Chromatin_structure_and_dynamics	0.00012738	0.00000900	0.00000670	0.00016787	0.00010710	0.00002118	0.00013648	0.00007171	0.00006184	0.00016281	0.00010634	0.00007044	0.00004062	0.00020442	0.00010405	0.00002205	0.00005628	0.00002302	0.00008896	0.00007611	0.00018530	0.00010064	0.00006789	0.00010518	0.00014227	0.00000000	0.00030688	0.00000000	0.00009240	0.00000000	0.00015650	0.00006440	0.00009755	0.00005657	0.00012714	0.00001482	0.00004891	0.00010266	0.00005439	0.00004837	0.00018043	0.00009679	0.00004248	0.00005604	0.00014563	0.00005340	0.00008124	0.00018776	0.00012672	0.00017834	0.00007221	0.00002217	0.00009812	0.00014243	0.00009444	0.00004341	0.00008957	0.00012349	0.00007606	0.00003000	0.00012001	0.00011076	0.00000000	0.00007415	0.00032254	0.00011584	0.00009012	0.00005883	0.00015074	0.00009318	0.00015242	0.00006391	0.00001963	0.00013262	0.00008674	0.00000260	0.00004730	0.00011530	0.00001176	0.00007998	0.00001812	0.00007629	0.00005132	0.00006817	0.00008071	0.00010641	0.00011898	0.00002763	0.00001752	0.00014467	0.00017496	0.00006505	0.00014871	0.00006593	0.00009664	0.00007541	0.00000000	0.00018744	0.00009631	0.00014345	0.00011163	0.00011203	0.00015474	0.00006797	0.00008754	0.00008870	
C__Energy_production_and_conversion	0.03500499	0.02873091	0.02904307	0.03550873	0.03710657	0.03183721	0.03707785	0.03394841	0.03293680	0.02620219	0.03349098	0.03222823	0.03239958	0.02903308	0.02898381	0.03695186	0.02619971	0.02900796	0.03362185	0.03634906	0.03251707	0.03303226	0.03541882	0.04093311	0.04455250	0.03433216	0.03514988	0.03539350	0.03784479	0.03308989	0.02999034	0.03203272	0.03111364	0.03468254	0.03213661	0.03618181	0.03275706	0.03172506	0.03206517	0.03266130	0.04347256	0.03298415	0.03972062	0.03544660	0.03549576	0.04224075	0.03607970	0.03641316	0.03214503	0.04109727	0.03797260	0.04374409	0.02781298	0.03699593	0.03450575	0.03048511	0.03983798	0.03067322	0.03017970	0.03563010	0.03028041	0.03402076	0.03601885	0.04261498	0.04325521	0.04072866	0.04191910	0.03980643	0.03469563	0.04630395	0.03493162	0.03950668	0.03655483	0.03568477	0.04271094	0.03406027	0.03480838	0.04333928	0.04365512	0.04973287	0.04367727	0.03083550	0.04046557	0.02923107	0.03403282	0.04138732	0.03686481	0.03650928	0.04390349	0.03698804	0.04444655	0.03942990	0.03774316	0.03441983	0.04315256	0.03444898	0.03451283	0.03850203	0.03984666	0.03695135	0.03455114	0.03952361	0.03710753	0.03808620	0.04499275	0.03354862	
D__Cell_cycle_control__cell_division__chromosome_partitioning	0.00723590	0.00674622	0.00937889	0.01059434	0.01162381	0.01049282	0.01221441	0.01101026	0.00812621	0.01258765	0.00991321	0.00886985	0.00938649	0.01191812	0.01149662	0.00847750	0.01069215	0.00967336	0.01226372	0.01122681	0.01127723	0.01081449	0.01282968	0.01304723	0.01026494	0.01103795	0.01271167	0.01200003	0.01119401	0.01123908	0.00988966	0.01115571	0.01088095	0.00779501	0.01155889	0.01164813	0.01183311	0.01204803	0.01051383	0.01177052	0.01155236	0.01136396	0.01090305	0.01199571	0.01121597	0.00914129	0.01109040	0.01165609	0.00965864	0.01230897	0.01136636	0.01064185	0.00976341	0.01053003	0.01020402	0.00862643	0.00888116	0.01098180	0.01055805	0.01067630	0.01162959	0.01253315	0.01251455	0.01104921	0.01142180	0.01019219	0.00749766	0.01045086	0.00980434	0.01017828	0.01078955	0.00962696	0.00925455	0.01145938	0.01111703	0.00931362	0.01081523	0.01124744	0.01054754	0.01055069	0.00732408	0.00911755	0.00816046	0.01151986	0.01183263	0.00875414	0.01054808	0.01075777	0.00924206	0.01111079	0.01041403	0.01177892	0.01117266	0.01003511	0.00926006	0.00972239	0.00969490	0.01056415	0.01011993	0.01003194	0.01065828	0.01173118	0.01131216	0.01249603	0.01071620	0.01036741	
E__Amino_acid_transport_and_metabolism	0.05738743	0.04802693	0.04869574	0.05876078	0.06268596	0.05375430	0.06515509	0.05707834	0.04985963	0.05062060	0.05542456	0.05510918	0.05194574	0.05113099	0.04610014	0.05629878	0.04842382	0.05049847	0.05880382	0.06518606	0.06111329	0.06552097	0.06794614	0.08138129	0.07410806	0.06091092	0.06559949	0.06334751	0.07267425	0.05942943	0.05120864	0.05482698	0.05238875	0.05453885	0.05505314	0.06079833	0.05717700	0.05454147	0.05420889	0.05768492	0.06254878	0.05448713	0.06726903	0.06249907	0.05537237	0.06562489	0.06171566	0.06227364	0.05543359	0.07281060	0.05852289	0.06832835	0.04739248	0.06327304	0.06239042	0.05438355	0.06413368	0.05540182	0.05171202	0.06176738	0.05503629	0.05938710	0.06343114	0.06637065	0.07234934	0.06679107	0.05490649	0.06687980	0.05897454	0.07276655	0.06070335	0.06433402	0.05959502	0.06112975	0.07118581	0.05668585	0.05655313	0.07305223	0.06572116	0.06797339	0.06198438	0.05015953	0.06409261	0.05461671	0.05637603	0.06323199	0.06283136	0.06451793	0.06559630	0.05870635	0.05881894	0.06009271	0.06376277	0.05801736	0.06693309	0.05635764	0.05788149	0.06385109	0.06761018	0.06063398	0.05665505	0.06324478	0.06155363	0.06980485	0.07028471	0.05887178	
F__Nucleotide_transport_and_metabolism	0.01506837	0.01241762	0.01194783	0.01483993	0.01600496	0.01634328	0.01744042	0.01436968	0.01263282	0.01263136	0.01445995	0.01372979	0.01227693	0.01387135	0.01077990	0.01438775	0.01107761	0.01216100	0.01387547	0.01686521	0.01528399	0.01936111	0.01986773	0.02449528	0.01919768	0.01817510	0.01745017	0.01526546	0.01823080	0.01828258	0.01242171	0.01300509	0.01306741	0.01458992	0.01319957	0.01550835	0.01530926	0.01539537	0.01429775	0.01383911	0.01775983	0.01562229	0.01815645	0.01252791	0.01368519	0.01973507	0.01369269	0.01482987	0.01458523	0.02157936	0.01819842	0.01797590	0.01212559	0.01638264	0.01598540	0.01265713	0.01799066	0.01572221	0.01285039	0.01311299	0.01420530	0.01706055	0.01806473	0.01953205	0.01871741	0.01597589	0.01405388	0.01808105	0.01366017	0.01997810	0.01574801	0.01834318	0.01390055	0.01514911	0.01827598	0.01453934	0.01540596	0.01937746	0.01785998	0.02169502	0.01855046	0.01337747	0.01836061	0.01325383	0.01325870	0.01724834	0.01661224	0.01612187	0.01598853	0.01575722	0.01540975	0.01704911	0.01658369	0.01489697	0.01847957	0.01368983	0.01519490	0.01617673	0.01743584	0.01641308	0.01314888	0.01841050	0.01659318	0.02028489	0.02147696	0.01817790	
G__Carbohydrate_transport_and_metabolism	0.09568889	0.10518093	0.09279038	0.08490133	0.10291048	0.09570771	0.10361748	0.09108827	0.09700518	0.07720402	0.08773473	0.09365708	0.09889637	0.08573309	0.09332958	0.10383053	0.08686096	0.09835814	0.10050958	0.11041988	0.11033156	0.11233762	0.10223117	0.11381456	0.11621439	0.10414237	0.10877982	0.10987993	0.10731114	0.10269173	0.09943241	0.08891640	0.09347648	0.09048386	0.08412691	0.09208073	0.08749728	0.08081185	0.08750657	0.09798333	0.09757590	0.08184754	0.10138689	0.09994655	0.09606260	0.09728853	0.09571411	0.09826009	0.08491999	0.09653230	0.10030894	0.09370822	0.08055601	0.10289544	0.09067967	0.08754031	0.10416591	0.10304315	0.07968826	0.10152142	0.08440271	0.09325049	0.09801961	0.09487100	0.10329814	0.09297126	0.09609523	0.09946425	0.10853316	0.10843689	0.09560566	0.09953274	0.09920846	0.09649346	0.10119110	0.09507049	0.10479748	0.09760978	0.08853757	0.10777411	0.11791920	0.09258425	0.09611622	0.08765237	0.09357603	0.09309032	0.09910341	0.10406589	0.11065876	0.09580605	0.10571955	0.08117538	0.09298352	0.09570380	0.09196000	0.09487747	0.10188704	0.09412727	0.10035500	0.09305616	0.09399635	0.09292373	0.09602994	0.08733818	0.09885080	0.10389436	
H__Coenzyme_transport_and_metabolism	0.01948116	0.01470121	0.01799660	0.02146447	0.02127082	0.01990929	0.02078226	0.02011079	0.01677702	0.01675768	0.02126063	0.01961871	0.01711761	0.01858015	0.01754589	0.01745266	0.01561206	0.01750396	0.02182788	0.02051577	0.01853592	0.02192662	0.01948023	0.02328056	0.02326423	0.01884209	0.02096386	0.02011119	0.01946165	0.02261745	0.01719384	0.01826677	0.01835307	0.01921903	0.01884661	0.02043612	0.01891476	0.01984590	0.01885926	0.01921499	0.02086598	0.02023584	0.02043329	0.01882844	0.01911274	0.02160472	0.01927613	0.02055400	0.01917151	0.02285474	0.01920452	0.02303668	0.01762591	0.02023244	0.02052996	0.01847095	0.01954505	0.01691062	0.01893541	0.02012728	0.02036305	0.01978919	0.01901616	0.02302324	0.02020127	0.02159978	0.01512989	0.02294057	0.01939732	0.01960455	0.01827806	0.02175620	0.01925242	0.02279284	0.02264935	0.01953542	0.01874735	0.02373477	0.01762825	0.02283145	0.02055557	0.01550876	0.02011576	0.01763389	0.01557156	0.01845813	0.02056867	0.01986468	0.01758651	0.01999725	0.01963780	0.02031807	0.02089209	0.01908502	0.02066953	0.01974145	0.01884741	0.01926834	0.02142870	0.01852585	0.01781089	0.02056750	0.02040352	0.01934042	0.02337139	0.02062778	
I__Lipid_transport_and_metabolism	0.01175582	0.01126654	0.01168141	0.01303126	0.01281394	0.01485814	0.01643502	0.01486653	0.01170795	0.01338543	0.01334457	0.01361530	0.01348709	0.01346070	0.01228734	0.01199925	0.01185997	0.01183438	0.01322403	0.01498721	0.01321852	0.01507223	0.01897271	0.01938423	0.01755996	0.01523137	0.01713145	0.01748560	0.01646454	0.01528950	0.01331180	0.01362175	0.01234039	0.01350166	0.01522334	0.01533954	0.01289004	0.01455582	0.01346557	0.01392036	0.01515648	0.01426633	0.01485376	0.01571100	0.01350295	0.01351774	0.01382578	0.01358934	0.01322682	0.01652629	0.01402022	0.01405816	0.01289699	0.01490618	0.01338456	0.01243330	0.01330791	0.01270272	0.01302824	0.01302792	0.01349827	0.01466932	0.01690271	0.01560271	0.01539925	0.01469212	0.01026238	0.01608844	0.01204302	0.01772055	0.01352841	0.01423754	0.01266262	0.01473070	0.01437793	0.01249360	0.01265047	0.01525877	0.01458212	0.01607251	0.01252933	0.01208809	0.01281467	0.01343806	0.01296696	0.01453297	0.01576450	0.01514322	0.01418746	0.01386372	0.01283929	0.01445801	0.01531497	0.01430454	0.01475068	0.01237017	0.01377098	0.01380717	0.01359516	0.01337617	0.01422552	0.01486234	0.01573435	0.01712074	0.01474155	0.01602998	
J__Translation__ribosomal_structure_and_biogenesis	0.02026761	0.01482167	0.01621955	0.02094359	0.02446674	0.02508473	0.02772513	0.02236862	0.01442883	0.02089528	0.02363951	0.01997585	0.01690886	0.02076749	0.01732932	0.01739670	0.01870827	0.01734657	0.01816915	0.02619691	0.02267834	0.03190754	0.03287920	0.03411498	0.03085766	0.02390805	0.02827453	0.02733903	0.03341110	0.02480934	0.01957970	0.01867975	0.01855598	0.02085972	0.02213455	0.02372742	0.02201318	0.02618855	0.02232277	0.02217365	0.02283334	0.02626448	0.02313504	0.02370990	0.02234798	0.02516881	0.02342856	0.02436143	0.02226902	0.03595887	0.02649310	0.02486286	0.01939773	0.02310084	0.02278814	0.02021562	0.02650755	0.02049588	0.02101138	0.02044802	0.02308512	0.02767349	0.02858467	0.02769940	0.03302522	0.02415282	0.01778431	0.02455748	0.02128936	0.02914837	0.02391167	0.02700085	0.01883898	0.02473290	0.02955559	0.02008576	0.02280934	0.02809758	0.02527263	0.02927824	0.02304742	0.02061887	0.02348914	0.02347806	0.01948066	0.02523275	0.02464427	0.02292365	0.02175354	0.02515783	0.02354991	0.02474029	0.02570587	0.02120743	0.02535222	0.01789274	0.02070247	0.02596284	0.02244446	0.02426238	0.02114738	0.02841697	0.02693936	0.03646702	0.03231502	0.03035108	
