"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"ENST00000322652.10",71.0234479994149,-2.20845527578366,0.403180030967723,-5.47759091759298,4.31155488537889e-08,0.000243990890963591,"Down"
"ENST00000367545.7",738.161979208371,-1.1411497932455,0.269969316248385,-4.22696108247941,2.36868615911948e-05,0.0418143986234477,"Down"
"ENST00000301919.9",267.572340397151,-1.02308793617639,0.254913246100745,-4.01347498345397,5.98313462318131e-05,0.0574350216592783,"Down"
"ENST00000304743.7",295.946735821517,-1.01628423096992,0.253480960934487,-4.00931189160428,6.0895940971138e-05,0.0574350216592783,"Down"
"ENST00000218316.4",63.9195080274535,1.53186890328777,0.413120557617215,3.70804326979815,0.00020886697218238,0.0984981829650075,"Up"
"ENST00000280871.9",167.976452276532,-1.05321140884317,0.300074844541292,-3.50982905765778,0.000448394861007174,0.181247608459971,"Down"
"ENST00000284523.2",33.3827357508514,1.74745092878117,0.525094622009433,3.32787816811763,0.00087510127484236,0.215312961492735,"Up"
"ENST00000366788.8",73.9474111733823,1.22763720116173,0.37155720048291,3.30403286375874,0.000953046593876875,0.224720444781218,"Up"
"ENST00000382361.8",126.673884130292,1.02015196191876,0.31517108104647,3.23681969339168,0.00120869755412292,0.273600778351263,"Up"
"ENST00000511802.5",32.1726138999089,-1.66116652283977,0.533359464848022,-3.11453462874818,0.00184235329438978,0.29788220837005,"Down"
"ENST00000566895.5",144.950156592343,-1.10906718509637,0.35914360365393,-3.08808836858771,0.00201448558325408,0.308107403125266,"Down"
"ENST00000374244.3",40.8523813844631,-1.50304835240456,0.499426246901288,-3.00955018229476,0.00261634853706272,0.334306504774913,"Down"
"ENST00000648200.2",119.866840514982,-1.00653607121572,0.335856221254094,-2.99692549227553,0.00272717358911146,0.334814541575163,"Down"
"ENST00000395323.9",34.2133409416882,1.53492156596635,0.519739768726342,2.95325018081218,0.00314447007580177,0.355594214604879,"Up"
"ENST00000393006.5",51.3011929043711,1.31331948890803,0.447395663023618,2.93547657577249,0.00333035754975412,0.355594214604879,"Up"
"ENST00000524304.1",166.585001945475,-1.01033194182762,0.343314856696,-2.94287276569058,0.00325182034515057,0.355594214604879,"Down"
"ENST00000581582.1",36.3375835762412,-1.42904834198633,0.485864140577563,-2.94125090254155,0.00326889638714102,0.355594214604879,"Down"
"ENST00000665039.1",63.1475065794602,-1.13712476649771,0.39528476920902,-2.87672294779568,0.00401828225139872,0.387723616054098,"Down"
"ENST00000399703.6",106.501817172401,-1.03925652563213,0.361500975856264,-2.87483740028783,0.00404235613132917,0.387723616054098,"Down"
"ENST00000480982.5",125.860653918616,-1.02643605149017,0.365615134809339,-2.80742221468879,0.00499397390476523,0.441576536360413,"Down"
"ENST00000338492.9",56.2418431346183,1.1760624040288,0.418267170141574,2.81174925498152,0.0049272897692124,0.441576536360413,"Up"
"ENST00000676010.1",43.8428735591801,-1.24706976753449,0.445027991453008,-2.8022277058637,0.00507510385478972,0.441846349450077,"Down"
