"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016570","BP","GO:0016570","histone modification","14/127","448/18862",1.99533356490559e-06,0.00186925429010188,0.00173718343063406,"PRKCB/BRD8/MYSM1/ASXL1/USP22/SUZ12/ATM/WAC/ATRX/NSD3/HDAC8/TRIP12/MORF4L2/CDK1",14
"GO:0034502","BP","GO:0034502","protein localization to chromosome","7/127","91/18862",2.68995448141424e-06,0.00186925429010188,0.00173718343063406,"CCT5/ATM/TRAPPC12/ATRX/HDAC8/TCP1/CDK1",7
"GO:0016569","BP","GO:0016569","covalent chromatin modification","14/127","461/18862",2.78300886863803e-06,0.00186925429010188,0.00173718343063406,"PRKCB/BRD8/MYSM1/ASXL1/USP22/SUZ12/ATM/WAC/ATRX/NSD3/HDAC8/TRIP12/MORF4L2/CDK1",14
"GO:0070198","BP","GO:0070198","protein localization to chromosome, telomeric region","4/127","30/18862",4.69008092616874e-05,0.023626282665575,0.0219569841254058,"CCT5/ATM/ATRX/TCP1",4
"GO:0051052","BP","GO:0051052","regulation of DNA metabolic process","10/127","353/18862",0.00013971569740639,0.0563054260547753,0.0523272054075723,"SPIRE2/CCT5/KPNA1/ATM/ATRX/RADX/HDAC8/TCP1/USP9X/TRIP12",10
"GO:0032204","BP","GO:0032204","regulation of telomere maintenance","5/127","79/18862",0.000193462914116631,0.0577577120126702,0.0536768811129896,"CCT5/ATM/ATRX/HDAC8/TCP1",5
"GO:0070200","BP","GO:0070200","establishment of protein localization to telomere","3/127","18/18862",0.000225913184907374,0.0577577120126702,0.0536768811129896,"CCT5/ATM/TCP1",3
"GO:0000377","BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","10/127","383/18862",0.000269398051261966,0.0577577120126702,0.0536768811129896,"CIRBP/WDR33/SRRM1/PAPOLA/DDX20/U2SURP/PCBP2/PRPF40A/SRPK2/TIA1",10
"GO:0000398","BP","GO:0000398","mRNA splicing, via spliceosome","10/127","383/18862",0.000269398051261966,0.0577577120126702,0.0536768811129896,"CIRBP/WDR33/SRRM1/PAPOLA/DDX20/U2SURP/PCBP2/PRPF40A/SRPK2/TIA1",10
"GO:0000375","BP","GO:0000375","RNA splicing, via transesterification reactions","10/127","386/18862",0.000286638769293649,0.0577577120126702,0.0536768811129896,"CIRBP/WDR33/SRRM1/PAPOLA/DDX20/U2SURP/PCBP2/PRPF40A/SRPK2/TIA1",10
"GO:0032206","BP","GO:0032206","positive regulation of telomere maintenance","4/127","51/18862",0.000383453831905511,0.0640551761340821,0.0595294022946491,"CCT5/ATM/ATRX/TCP1",4
"GO:0008380","BP","GO:0008380","RNA splicing","11/127","481/18862",0.000412239552988027,0.0640551761340821,0.0595294022946491,"CIRBP/WDR33/SRRM1/PAPOLA/TCERG1/DDX20/U2SURP/PCBP2/PRPF40A/SRPK2/TIA1",11
"GO:0006998","BP","GO:0006998","nuclear envelope organization","4/127","52/18862",0.000413259200865046,0.0640551761340821,0.0595294022946491,"EMD/PRKCB/ANKLE2/CDK1",4
"GO:0016578","BP","GO:0016578","histone deubiquitination","3/127","23/18862",0.000478397129352371,0.0688550154032163,0.0639901122645014,"MYSM1/ASXL1/USP22",3
"GO:0070199","BP","GO:0070199","establishment of protein localization to chromosome","3/127","27/18862",0.00077475111767923,0.104074900141577,0.0967215605860597,"CCT5/ATM/TCP1",3
"GO:0018105","BP","GO:0018105","peptidyl-serine phosphorylation","8/127","310/18862",0.00120249556042161,0.139594990534249,0.129732003740592,"PRKCB/WNT3A/AKT2/MARK3/ATM/ROCK1/SRPK2/CDK1",8
"GO:0032212","BP","GO:0032212","positive regulation of telomere maintenance via telomerase","3/127","33/18862",0.00140323194952059,0.139594990534249,0.129732003740592,"CCT5/ATM/TCP1",3
"GO:0022406","BP","GO:0022406","membrane docking","6/127","181/18862",0.0014243408577148,0.139594990534249,0.129732003740592,"VPS45/SCFD1/CEP83/ROCK1/CEP290/CDK1",6
"GO:0006997","BP","GO:0006997","nucleus organization","5/127","124/18862",0.00151959442808617,0.139594990534249,0.129732003740592,"EMD/PRKCB/ANKLE2/SRPK2/CDK1",5
"GO:0001580","BP","GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste","3/127","36/18862",0.00180955344712881,0.139594990534249,0.129732003740592,"TAS2R3/TAS2R4/TAS2R5",3
"GO:1904358","BP","GO:1904358","positive regulation of telomere maintenance via telomere lengthening","3/127","36/18862",0.00180955344712881,0.139594990534249,0.129732003740592,"CCT5/ATM/TCP1",3
"GO:0018209","BP","GO:0018209","peptidyl-serine modification","8/127","333/18862",0.00188774241635195,0.139594990534249,0.129732003740592,"PRKCB/WNT3A/AKT2/MARK3/ATM/ROCK1/SRPK2/CDK1",8
"GO:0007084","BP","GO:0007084","mitotic nuclear envelope reassembly","2/127","10/18862",0.00195378446195805,0.139594990534249,0.129732003740592,"EMD/ANKLE2",2
"GO:0101024","BP","GO:0101024","mitotic nuclear membrane organization","2/127","10/18862",0.00195378446195805,0.139594990534249,0.129732003740592,"EMD/ANKLE2",2
"GO:1904851","BP","GO:1904851","positive regulation of establishment of protein localization to telomere","2/127","10/18862",0.00195378446195805,0.139594990534249,0.129732003740592,"CCT5/TCP1",2
"GO:0051054","BP","GO:0051054","positive regulation of DNA metabolic process","6/127","198/18862",0.0022417264973502,0.139594990534249,0.129732003740592,"SPIRE2/CCT5/ATM/ATRX/TCP1/USP9X",6
"GO:0016572","BP","GO:0016572","histone phosphorylation","3/127","39/18862",0.00228242138462516,0.139594990534249,0.129732003740592,"PRKCB/ATM/CDK1",3
"GO:1901998","BP","GO:1901998","toxin transport","3/127","39/18862",0.00228242138462516,0.139594990534249,0.129732003740592,"CCT5/SCFD1/TCP1",3
"GO:0070203","BP","GO:0070203","regulation of establishment of protein localization to telomere","2/127","11/18862",0.0023774511903451,0.139594990534249,0.129732003740592,"CCT5/TCP1",2
"GO:1904869","BP","GO:1904869","regulation of protein localization to Cajal body","2/127","11/18862",0.0023774511903451,0.139594990534249,0.129732003740592,"CCT5/TCP1",2
"GO:1904871","BP","GO:1904871","positive regulation of protein localization to Cajal body","2/127","11/18862",0.0023774511903451,0.139594990534249,0.129732003740592,"CCT5/TCP1",2
"GO:2000049","BP","GO:2000049","positive regulation of cell-cell adhesion mediated by cadherin","2/127","11/18862",0.0023774511903451,0.139594990534249,0.129732003740592,"WNT3A/AFDN",2
