pathway_id	pathway_num
ko01100	1297
ko01110	499
ko05014	282
ko01120	241
ko03010	232
ko05022	221
ko05016	211
ko05010	193
ko04111	191
ko03013	188
ko01240	181
ko05012	173
ko01230	164
ko00190	163
ko04714	161
ko05020	158
ko03040	154
ko05171	152
ko04113	148
ko03008	144
ko04011	144
ko04138	141
ko01200	140
ko04141	128
ko05208	119
ko04144	114
ko05415	112
ko05017	102
ko03015	98
ko00230	97
ko04110	92
ko05132	92
ko03018	89
ko04932	87
ko05131	85
ko04150	84
ko04120	81
ko03420	77
ko05166	77
ko00564	72
ko04140	72
ko03022	69
ko04146	67
ko04114	66
ko05165	66
ko04139	63
ko05203	61
ko00620	60
ko03030	59
ko04145	59
ko00270	58
ko03050	58
ko04910	57
ko00510	56
ko00513	56
ko00260	54
ko00970	53
ko05200	53
ko00520	52
ko04613	52
ko00563	50
ko04136	50
ko04142	48
ko01212	47
ko05130	47
ko00630	46
ko04152	46
ko04723	46
ko00010	45
ko00240	45
ko04151	45
ko00330	44
ko00562	44
ko03460	44
ko04211	44
ko04218	43
ko00250	42
ko03410	42
ko04217	42
ko05034	41
ko00480	40
ko03020	40
ko03440	40
ko04530	40
ko04810	40
ko05152	40
ko05169	40
ko00500	39
ko01210	39
ko03430	39
ko04212	39
ko04213	38
ko04914	38
ko03060	36
ko04721	36
ko00051	35
ko00900	35
ko04130	34
ko05110	34
ko00400	33
ko00730	33
ko01250	33
ko01524	33
ko04068	33
ko04919	33
ko05417	33
ko00030	31
ko00561	31
ko00770	31
ko04066	31
ko04936	31
ko00071	30
ko00220	30
ko00760	30
ko00920	30
ko02020	30
ko04260	30
ko04922	30
ko05120	30
ko05168	30
ko05322	30
ko00020	29
ko00280	29
ko00380	29
ko00640	29
ko04070	29
ko00100	28
ko05164	28
ko00650	27
ko00680	27
ko00860	27
ko04071	27
ko04137	27
ko04371	27
ko04931	27
ko05170	27
ko05418	27
ko00310	26
ko00983	26
ko02024	26
ko04621	26
ko05323	26
ko04921	25
ko05167	25
ko03320	24
ko04666	24
ko05205	24
ko05207	24
ko05225	24
ko00910	23
ko04722	23
ko05230	23
ko00565	22
ko00670	22
ko04623	22
ko05134	22
ko00600	21
ko00720	21
ko01040	21
ko04728	21
ko05100	21
ko05135	21
ko00052	20
ko00790	20
ko02010	20
ko04013	20
ko04962	20
ko05231	20
ko04014	19
ko04612	19
ko04966	19
ko05202	19
ko00290	18
ko00350	18
ko00710	18
ko00740	18
ko04022	18
ko04024	18
ko04072	18
ko04261	18
ko04390	18
ko05163	18
ko00410	17
ko04010	17
ko04510	17
ko04626	17
ko05160	17
ko05206	17
ko00360	16
ko00980	16
ko03450	16
ko04310	16
ko04920	16
ko05226	16
ko00130	15
ko00340	15
ko00521	15
ko00982	15
ko04216	15
ko04720	15
ko05162	15
ko00300	14
ko01523	14
ko04020	14
ko04115	14
ko04660	14
ko04912	14
ko04930	14
ko05031	14
ko05215	14
ko00514	13
ko01521	13
ko04210	13
ko04360	13
ko04391	13
ko04710	13
ko05161	13
ko05210	13
ko05235	13
ko00062	12
ko04016	12
ko04214	12
ko04657	12
ko04915	12
ko05211	12
ko00053	11
ko00061	11
ko00450	11
ko00460	11
ko04015	11
ko04520	11
ko04659	11
ko04727	11
ko04979	11
ko05212	11
ko05213	11
ko05214	11
ko00362	10
ko00627	10
ko00750	10
ko00780	10
ko04122	10
ko04270	10
ko04350	10
ko04370	10
ko04392	10
ko04540	10
ko04611	10
ko04664	10
ko04724	10
ko04750	10
ko04934	10
ko05204	10
ko05223	10
ko00040	9
ko00440	9
ko00524	9
ko00541	9
ko00592	9
ko00660	9
ko00791	9
ko01220	9
ko04625	9
ko04973	9
ko05140	9
ko05410	9
ko01522	8
ko04062	8
ko04622	8
ko04975	8
ko04976	8
ko05145	8
ko05224	8
ko00470	7
ko00590	7
ko00940	7
ko04064	7
ko04330	7
ko04650	7
ko04662	7
ko04730	7
ko04917	7
ko04918	7
ko04935	7
ko04978	7
ko05133	7
ko05142	7
ko05416	7
ko00261	6
ko00405	6
ko00623	6
ko00625	6
ko00950	6
ko00960	6
ko04012	6
ko04341	6
ko04361	6
ko04658	6
ko04924	6
ko04960	6
ko05216	6
ko05220	6
ko05221	6
ko00140	5
ko00311	5
ko00511	5
ko00515	5
ko00830	5
ko04215	5
ko04380	5
ko04630	5
ko04670	5
ko04712	5
ko04726	5
ko04916	5
ko04926	5
ko04933	5
ko04961	5
ko05146	5
ko00195	4
ko00626	4
ko00643	4
ko00965	4
ko02025	4
ko04320	4
ko04550	4
ko04614	4
ko04624	4
ko04713	4
ko04925	4
ko04928	4
ko04972	4
ko05222	4
ko00232	3
ko00401	3
ko00430	3
ko00531	3
ko00604	3
ko00908	3
ko00998	3
ko01503	3
ko03070	3
ko04340	3
ko04668	3
ko04711	3
ko04740	3
ko04744	3
ko04745	3
ko04970	3
ko04971	3
ko05143	3
ko05218	3
ko05340	3
ko00254	2
ko00281	2
ko00333	2
ko00361	2
ko00364	2
ko00591	2
ko00603	2
ko00785	2
ko00903	2
ko00909	2
ko00930	2
ko00966	2
ko00981	2
ko01051	2
ko04620	2
ko04725	2
ko04913	2
ko04923	2
ko04929	2
ko04940	2
ko04974	2
ko05030	2
ko05032	2
ko05033	2
ko05219	2
ko00332	1
ko00404	1
ko00523	1
ko00901	1
ko01501	1
ko02026	1
ko04075	1
ko04964	1
ko05217	1
ko05412	1
ko05414	1
