pathway_id	pathway_num	level_1	level_2	level_3
map00010	45	Metabolism	Carbohydrate metabolism	 Glycolysis / Gluconeogenesis
map00020	29	Metabolism	Carbohydrate metabolism	 Citrate cycle (TCA cycle)
map00030	31	Metabolism	Carbohydrate metabolism	 Pentose phosphate pathway
map00040	9	Metabolism	Carbohydrate metabolism	 Pentose and glucuronate interconversions
map00051	35	Metabolism	Carbohydrate metabolism	 Fructose and mannose metabolism
map00052	20	Metabolism	Carbohydrate metabolism	 Galactose metabolism
map00053	11	Metabolism	Carbohydrate metabolism	 Ascorbate and aldarate metabolism
map00061	11	Metabolism	Lipid metabolism	 Fatty acid biosynthesis
map00062	12	Metabolism	Lipid metabolism	 Fatty acid elongation
map00071	30	Metabolism	Lipid metabolism	 Fatty acid degradation
map00100	28	Metabolism	Lipid metabolism	 Steroid biosynthesis
map00130	15	Metabolism	Metabolism of cofactors and vitamins	 Ubiquinone and other terpenoid-quinone biosynthesis
map00140	5	Metabolism	Lipid metabolism	 Steroid hormone biosynthesis
map00190	163	Metabolism	Energy metabolism	 Oxidative phosphorylation
map00195	4	Metabolism	Energy metabolism	 Photosynthesis
map00220	30	Metabolism	Amino acid metabolism	 Arginine biosynthesis
map00230	97	Metabolism	Nucleotide metabolism	 Purine metabolism
map00232	3	Metabolism	Biosynthesis of other secondary metabolites	 Caffeine metabolism
map00240	45	Metabolism	Nucleotide metabolism	 Pyrimidine metabolism
map00250	42	Metabolism	Amino acid metabolism	 Alanine, aspartate and glutamate metabolism
map00254	2	Metabolism	Biosynthesis of other secondary metabolites	 Aflatoxin biosynthesis
map00260	54	Metabolism	Amino acid metabolism	 Glycine, serine and threonine metabolism
map00261	6	Metabolism	Biosynthesis of other secondary metabolites	 Monobactam biosynthesis
map00270	58	Metabolism	Amino acid metabolism	 Cysteine and methionine metabolism
map00280	29	Metabolism	Amino acid metabolism	 Valine, leucine and isoleucine degradation
map00281	2	Metabolism	Metabolism of terpenoids and polyketides	 Geraniol degradation
map00290	18	Metabolism	Amino acid metabolism	 Valine, leucine and isoleucine biosynthesis
map00300	14	Metabolism	Amino acid metabolism	 Lysine biosynthesis
map00310	26	Metabolism	Amino acid metabolism	 Lysine degradation
map00311	5	Metabolism	Biosynthesis of other secondary metabolites	 Penicillin and cephalosporin biosynthesis
map00330	44	Metabolism	Amino acid metabolism	 Arginine and proline metabolism
map00332	1	Metabolism	Biosynthesis of other secondary metabolites	 Carbapenem biosynthesis
map00333	2	Metabolism	Biosynthesis of other secondary metabolites	 Prodigiosin biosynthesis
map00340	15	Metabolism	Amino acid metabolism	 Histidine metabolism
map00350	18	Metabolism	Amino acid metabolism	 Tyrosine metabolism
map00360	16	Metabolism	Amino acid metabolism	 Phenylalanine metabolism
map00361	2	Metabolism	Xenobiotics biodegradation and metabolism	 Chlorocyclohexane and chlorobenzene degradation
map00362	10	Metabolism	Xenobiotics biodegradation and metabolism	 Benzoate degradation
map00364	2	Metabolism	Xenobiotics biodegradation and metabolism	 Fluorobenzoate degradation
map00380	29	Metabolism	Amino acid metabolism	 Tryptophan metabolism
map00400	33	Metabolism	Amino acid metabolism	 Phenylalanine, tyrosine and tryptophan biosynthesis
map00401	3	Metabolism	Biosynthesis of other secondary metabolites	 Novobiocin biosynthesis
map00404	1	Metabolism	Biosynthesis of other secondary metabolites	 Staurosporine biosynthesis
map00405	6	Metabolism	Biosynthesis of other secondary metabolites	 Phenazine biosynthesis
map00410	17	Metabolism	Metabolism of other amino acids	 beta-Alanine metabolism
map00430	3	Metabolism	Metabolism of other amino acids	 Taurine and hypotaurine metabolism
map00440	9	Metabolism	Metabolism of other amino acids	 Phosphonate and phosphinate metabolism
map00450	11	Metabolism	Metabolism of other amino acids	 Selenocompound metabolism
map00460	11	Metabolism	Metabolism of other amino acids	 Cyanoamino acid metabolism
map00470	7	NA	NA	NA
map00480	40	Metabolism	Metabolism of other amino acids	 Glutathione metabolism
map00500	39	Metabolism	Carbohydrate metabolism	 Starch and sucrose metabolism
map00510	56	Metabolism	Glycan biosynthesis and metabolism	 N-Glycan biosynthesis
map00511	5	Metabolism	Glycan biosynthesis and metabolism	 Other glycan degradation
map00513	56	Metabolism	Glycan biosynthesis and metabolism	 Various types of N-glycan biosynthesis
map00514	13	Metabolism	Glycan biosynthesis and metabolism	 Other types of O-glycan biosynthesis
map00515	5	Metabolism	Glycan biosynthesis and metabolism	 Mannose type O-glycan biosynthesis
map00520	52	Metabolism	Carbohydrate metabolism	 Amino sugar and nucleotide sugar metabolism
map00521	15	Metabolism	Biosynthesis of other secondary metabolites	 Streptomycin biosynthesis
map00523	1	Metabolism	Metabolism of terpenoids and polyketides	 Polyketide sugar unit biosynthesis
map00524	9	Metabolism	Biosynthesis of other secondary metabolites	 Neomycin, kanamycin and gentamicin biosynthesis
map00531	3	Metabolism	Glycan biosynthesis and metabolism	 Glycosaminoglycan degradation
map00541	9	NA	NA	NA
map00561	31	Metabolism	Lipid metabolism	 Glycerolipid metabolism
map00562	44	Metabolism	Carbohydrate metabolism	 Inositol phosphate metabolism
map00563	50	Metabolism	Glycan biosynthesis and metabolism	 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
map00564	72	Metabolism	Lipid metabolism	 Glycerophospholipid metabolism
map00565	22	Metabolism	Lipid metabolism	 Ether lipid metabolism
map00590	7	Metabolism	Lipid metabolism	 Arachidonic acid metabolism
map00591	2	Metabolism	Lipid metabolism	 Linoleic acid metabolism
map00592	9	Metabolism	Lipid metabolism	 alpha-Linolenic acid metabolism
map00600	21	Metabolism	Lipid metabolism	 Sphingolipid metabolism
map00603	2	Metabolism	Glycan biosynthesis and metabolism	 Glycosphingolipid biosynthesis - globo and isoglobo series
map00604	3	Metabolism	Glycan biosynthesis and metabolism	 Glycosphingolipid biosynthesis - ganglio series
map00620	60	Metabolism	Carbohydrate metabolism	 Pyruvate metabolism
map00623	6	Metabolism	Xenobiotics biodegradation and metabolism	 Toluene degradation
map00625	6	Metabolism	Xenobiotics biodegradation and metabolism	 Chloroalkane and chloroalkene degradation
map00626	4	Metabolism	Xenobiotics biodegradation and metabolism	 Naphthalene degradation
map00627	10	Metabolism	Xenobiotics biodegradation and metabolism	 Aminobenzoate degradation
map00630	46	Metabolism	Carbohydrate metabolism	 Glyoxylate and dicarboxylate metabolism
map00640	29	Metabolism	Carbohydrate metabolism	 Propanoate metabolism
map00643	4	Metabolism	Xenobiotics biodegradation and metabolism	 Styrene degradation
map00650	27	Metabolism	Carbohydrate metabolism	 Butanoate metabolism
map00660	9	Metabolism	Carbohydrate metabolism	 C5-Branched dibasic acid metabolism
map00670	22	Metabolism	Metabolism of cofactors and vitamins	 One carbon pool by folate
map00680	27	Metabolism	Energy metabolism	 Methane metabolism
map00710	18	Metabolism	Energy metabolism	 Carbon fixation in photosynthetic organisms
map00720	21	Metabolism	Energy metabolism	 Carbon fixation pathways in prokaryotes
map00730	33	Metabolism	Metabolism of cofactors and vitamins	 Thiamine metabolism
map00740	18	Metabolism	Metabolism of cofactors and vitamins	 Riboflavin metabolism
map00750	10	Metabolism	Metabolism of cofactors and vitamins	 Vitamin B6 metabolism
map00760	30	Metabolism	Metabolism of cofactors and vitamins	 Nicotinate and nicotinamide metabolism
map00770	31	Metabolism	Metabolism of cofactors and vitamins	 Pantothenate and CoA biosynthesis
map00780	10	Metabolism	Metabolism of cofactors and vitamins	 Biotin metabolism
map00785	2	Metabolism	Metabolism of cofactors and vitamins	 Lipoic acid metabolism
map00790	20	Metabolism	Metabolism of cofactors and vitamins	 Folate biosynthesis
map00791	9	Metabolism	Xenobiotics biodegradation and metabolism	 Atrazine degradation
map00830	5	Metabolism	Metabolism of cofactors and vitamins	 Retinol metabolism
map00860	27	Metabolism	Metabolism of cofactors and vitamins	 Porphyrin and chlorophyll metabolism
map00900	35	Metabolism	Metabolism of terpenoids and polyketides	 Terpenoid backbone biosynthesis
map00901	1	Metabolism	Biosynthesis of other secondary metabolites	 Indole alkaloid biosynthesis
map00903	2	Metabolism	Metabolism of terpenoids and polyketides	 Limonene and pinene degradation
map00908	3	Metabolism	Metabolism of terpenoids and polyketides	 Zeatin biosynthesis
map00909	2	Metabolism	Metabolism of terpenoids and polyketides	 Sesquiterpenoid and triterpenoid biosynthesis
map00910	23	Metabolism	Energy metabolism	 Nitrogen metabolism
map00920	30	Metabolism	Energy metabolism	 Sulfur metabolism
map00930	2	Metabolism	Xenobiotics biodegradation and metabolism	 Caprolactam degradation
map00940	7	Metabolism	Biosynthesis of other secondary metabolites	 Phenylpropanoid biosynthesis
map00950	6	Metabolism	Biosynthesis of other secondary metabolites	 Isoquinoline alkaloid biosynthesis
map00960	6	Metabolism	Biosynthesis of other secondary metabolites	 Tropane, piperidine and pyridine alkaloid biosynthesis
map00965	4	Metabolism	Biosynthesis of other secondary metabolites	 Betalain biosynthesis
map00966	2	Metabolism	Biosynthesis of other secondary metabolites	 Glucosinolate biosynthesis
map00970	53	Genetic Information Processing	Translation	 Aminoacyl-tRNA biosynthesis
map00980	16	Metabolism	Xenobiotics biodegradation and metabolism	 Metabolism of xenobiotics by cytochrome P450
map00981	2	Metabolism	Metabolism of terpenoids and polyketides	 Insect hormone biosynthesis
map00982	15	Metabolism	Xenobiotics biodegradation and metabolism	 Drug metabolism - cytochrome P450
map00983	26	Metabolism	Xenobiotics biodegradation and metabolism	 Drug metabolism - other enzymes
map00998	3	Metabolism	Biosynthesis of other secondary metabolites	 Biosynthesis of various secondary metabolites - part 2
map01040	21	Metabolism	Lipid metabolism	 Biosynthesis of unsaturated fatty acids
map01051	2	Metabolism	Metabolism of terpenoids and polyketides	 Biosynthesis of ansamycins
map01100	1297	Metabolism	Global and overview maps	 Metabolic pathways
map01110	499	Metabolism	Global and overview maps	 Biosynthesis of secondary metabolites
map01120	241	Metabolism	Global and overview maps	 Microbial metabolism in diverse environments
map01200	140	Metabolism	Global and overview maps	 Carbon metabolism
map01210	39	Metabolism	Global and overview maps	 2-Oxocarboxylic acid metabolism
map01212	47	Metabolism	Global and overview maps	 Fatty acid metabolism
map01220	9	Metabolism	Global and overview maps	 Degradation of aromatic compounds
map01230	164	Metabolism	Global and overview maps	 Biosynthesis of amino acids
map01240	181	NA	NA	NA
map01250	33	NA	NA	NA
map01501	1	Human Diseases	Drug resistance: antimicrobial	 beta-Lactam resistance
map01503	3	Human Diseases	Drug resistance: antimicrobial	 Cationic antimicrobial peptide (CAMP) resistance
map01521	13	Human Diseases	Drug resistance: antineoplastic	 EGFR tyrosine kinase inhibitor resistance
map01522	8	Human Diseases	Drug resistance: antineoplastic	 Endocrine resistance
map01523	14	Human Diseases	Drug resistance: antineoplastic	 Antifolate resistance
map01524	33	Human Diseases	Drug resistance: antineoplastic	 Platinum drug resistance
map02010	20	Environmental Information Processing	Membrane transport	 ABC transporters
map02020	30	Environmental Information Processing	Signal transduction	 Two-component system
map02024	26	Cellular Processes	Cellular community - prokaryotes	 Quorum sensing
map02025	4	Cellular Processes	Cellular community - prokaryotes	 Biofilm formation - Pseudomonas aeruginosa
map02026	1	Cellular Processes	Cellular community - prokaryotes	 Biofilm formation - Escherichia coli
map03008	144	Genetic Information Processing	Translation	 Ribosome biogenesis in eukaryotes
map03010	232	Genetic Information Processing	Translation	 Ribosome
map03013	188	Genetic Information Processing	Translation	 RNA transport
map03015	98	Genetic Information Processing	Translation	 mRNA surveillance pathway
map03018	89	Genetic Information Processing	Folding, sorting and degradation	 RNA degradation
map03020	40	Genetic Information Processing	Transcription	 RNA polymerase
map03022	69	Genetic Information Processing	Transcription	 Basal transcription factors
map03030	59	Genetic Information Processing	Replication and repair	 DNA replication
map03040	154	Genetic Information Processing	Transcription	 Spliceosome
map03050	58	Genetic Information Processing	Folding, sorting and degradation	 Proteasome
map03060	36	Genetic Information Processing	Folding, sorting and degradation	 Protein export
map03070	3	Environmental Information Processing	Membrane transport	 Bacterial secretion system
map03320	24	Organismal Systems	Endocrine system	 PPAR signaling pathway
