k_id	gene_id	Path
K00002	UNI1215	ko01100
K00002	UNI1215	ko00010
K00002	UNI1215	ko00561
K00002	UNI1215	ko01220
K00002	UNI1215	ko00930
K00002	UNI1215	ko01240
K00002	UNI1215	ko00053
K00002	UNI1215	ko00040
K00002	UNI1215	ko01120
K00002	UNI1215	ko01110
K00002	UNI1215	ko00620
K00002	UNI1215	ko05208
K00004	OCG05087	ko01110
K00004	OCG05087	ko00650
K00004	OCG05821	ko01110
K00004	OCG05821	ko00650
K00006	OCG00051	ko00564
K00006	OCG00051	ko04011
K00006	OCG00051	ko01110
K00008	OCG00065	ko01100
K00008	OCG00065	ko00040
K00008	OCG00065	ko00051
K00012	UNI5710	ko01240
K00012	UNI5710	ko01250
K00012	UNI5710	ko00541
K00012	UNI5710	ko00520
K00012	UNI5710	ko00053
K00012	UNI5710	ko01100
K00012	UNI5710	ko00040
K00012	OCG08876	ko01240
K00012	OCG08876	ko01250
K00012	OCG08876	ko00541
K00012	OCG08876	ko00520
K00012	OCG08876	ko00053
K00012	OCG08876	ko01100
K00012	OCG08876	ko00040
K00013	OCG00748	ko01110
K00013	OCG00748	ko00340
K00013	OCG00748	ko01100
K00013	OCG00748	ko01230
K00014	OCG01590	ko01230
K00014	OCG01590	ko01110
K00014	OCG01590	ko00400
K00014	OCG01590	ko01100
K00015	OCG00079	ko01110
K00015	OCG00079	ko01120
K00015	OCG00079	ko00630
K00015	OCG00079	ko01100
K00020	OCG02337	ko00280
K00020	OCG02337	ko01100
K00021	OCG01562	ko01110
K00021	OCG01562	ko04976
K00021	OCG01562	ko01100
K00021	OCG01562	ko04152
K00021	OCG01562	ko00900
K00021	OCG10147	ko01110
K00021	OCG10147	ko04976
K00021	OCG10147	ko01100
K00021	OCG10147	ko04152
K00021	OCG10147	ko00900
K00022	OCG08296	ko01212
K00022	OCG08296	ko00280
K00022	OCG08296	ko00062
K00022	OCG08296	ko00930
K00022	OCG08296	ko00281
K00022	OCG08296	ko00650
K00022	OCG08296	ko00310
K00022	OCG08296	ko00380
K00022	OCG08296	ko01120
K00022	OCG08296	ko01100
K00022	OCG08296	ko00071
K00022	OCG08296	ko01110
K00026	OCG00952	ko00620
K00026	OCG00952	ko01120
K00026	OCG00952	ko01200
K00026	OCG00952	ko00020
K00026	OCG00952	ko01100
K00026	OCG00952	ko00270
K00026	OCG00952	ko00710
K00026	OCG00952	ko00630
K00026	OCG00952	ko01110
K00026	OCG00470	ko00620
K00026	OCG00470	ko01120
K00026	OCG00470	ko01200
K00026	OCG00470	ko00020
K00026	OCG00470	ko01100
K00026	OCG00470	ko00270
K00026	OCG00470	ko00710
K00026	OCG00470	ko00630
K00026	OCG00470	ko01110
K00029	OCG00471	ko00710
K00029	OCG00471	ko03320
K00029	OCG00471	ko01200
K00029	OCG00471	ko00620
K00029	OCG00471	ko01120
K00029	OCG00471	ko01100
K00030	OCG03931	ko00020
K00030	OCG03931	ko01200
K00030	OCG03931	ko01100
K00030	OCG03931	ko01230
K00030	OCG03931	ko01210
K00030	OCG03931	ko01110
K00030	OCG03931	ko01120
K00030	OCG00295	ko00020
K00030	OCG00295	ko01200
K00030	OCG00295	ko01100
K00030	OCG00295	ko01230
K00030	OCG00295	ko01210
K00030	OCG00295	ko01110
K00030	OCG00295	ko01120
K00030	UNI3381	ko00020
K00030	UNI3381	ko01200
K00030	UNI3381	ko01100
K00030	UNI3381	ko01230
K00030	UNI3381	ko01210
K00030	UNI3381	ko01110
K00030	UNI3381	ko01120
K00031	OCG00044	ko01230
K00031	OCG00044	ko00720
K00031	OCG00044	ko05230
K00031	OCG00044	ko01100
K00031	OCG00044	ko01120
K00031	OCG00044	ko04146
K00031	OCG00044	ko01200
K00031	OCG00044	ko00480
K00031	OCG00044	ko00020
K00031	OCG00044	ko01210
K00031	OCG00044	ko01110
K00031	OCG07630	ko01230
K00031	OCG07630	ko00720
K00031	OCG07630	ko05230
K00031	OCG07630	ko01100
K00031	OCG07630	ko01120
K00031	OCG07630	ko04146
K00031	OCG07630	ko01200
K00031	OCG07630	ko00480
K00031	OCG07630	ko00020
K00031	OCG07630	ko01210
K00031	OCG07630	ko01110
K00033	OCG00693	ko00480
K00033	OCG00693	ko01100
K00033	OCG00693	ko00030
K00033	OCG00693	ko01120
K00033	OCG00693	ko01110
K00033	OCG00693	ko01200
K00036	OCG00531	ko01110
K00036	OCG00531	ko01200
K00036	OCG00531	ko05415
K00036	OCG00531	ko01120
K00036	OCG00531	ko00030
K00036	OCG00531	ko01100
K00036	OCG00531	ko00480
K00036	OCG00531	ko05230
K00052	OCG00193	ko00660
K00052	OCG00193	ko01230
K00052	OCG00193	ko01100
K00052	OCG00193	ko01210
K00052	OCG00193	ko00290
K00052	OCG00193	ko01110
K00052	OCG08029	ko00660
K00052	OCG08029	ko01230
K00052	OCG08029	ko01100
K00052	OCG08029	ko01210
K00052	OCG08029	ko00290
K00052	OCG08029	ko01110
K00052	OCG01506	ko00660
K00052	OCG01506	ko01230
K00052	OCG01506	ko01100
K00052	OCG01506	ko01210
K00052	OCG01506	ko00290
K00052	OCG01506	ko01110
K00053	OCG00711	ko01100
K00053	OCG00711	ko00770
K00053	OCG00711	ko00290
K00053	OCG00711	ko01230
K00053	OCG00711	ko01110
K00053	OCG00711	ko01210
K00058	OCG00566	ko01110
K00058	OCG00566	ko01120
K00058	OCG00566	ko00270
K00058	OCG00566	ko01200
K00058	OCG00566	ko01230
K00058	OCG00566	ko00680
K00058	OCG00566	ko00260
K00058	OCG00566	ko01100
K00059	OCG09277	ko00780
K00059	OCG09277	ko00333
K00059	OCG09277	ko01212
K00059	OCG09277	ko00061
K00059	OCG09277	ko01110
K00059	OCG09277	ko01240
K00059	OCG09277	ko01100
K00059	OCG00844	ko00780
K00059	OCG00844	ko00333
K00059	OCG00844	ko01212
K00059	OCG00844	ko00061
K00059	OCG00844	ko01110
K00059	OCG00844	ko01240
K00059	OCG00844	ko01100
K00062	OCG07209	ko00053
K00062	OCG07209	ko01100
K00062	OCG02112	ko00053
K00062	OCG02112	ko01100
K00063	OCG02781	ko00053
K00063	OCG02781	ko01100
K00067	OCG07068	ko01110
K00067	OCG07068	ko00521
K00067	OCG07068	ko00541
K00067	OCG07068	ko00523
K00067	OCG07068	ko01100
K00067	OCG07068	ko01250
K00077	OCG03698	ko01240
K00077	OCG03698	ko01110
K00077	OCG03698	ko01100
K00077	OCG03698	ko00770
K00077	OCG03924	ko01240
K00077	OCG03924	ko01110
K00077	OCG03924	ko01100
K00077	OCG03924	ko00770
K00077	OCG06889	ko01240
K00077	OCG06889	ko01110
K00077	OCG06889	ko01100
K00077	OCG06889	ko00770
K00077	OCG00997	ko01240
K00077	OCG00997	ko01110
K00077	OCG00997	ko01100
K00077	OCG00997	ko00770
K00077	OCG06741	ko01240
K00077	OCG06741	ko01110
K00077	OCG06741	ko01100
K00077	OCG06741	ko00770
K00077	OCG07413	ko01240
K00077	OCG07413	ko01110
K00077	OCG07413	ko01100
K00077	OCG07413	ko00770
K00077	OCG02866	ko01240
K00077	OCG02866	ko01110
K00077	OCG02866	ko01100
K00077	OCG02866	ko00770
K00078	OCG05644	ko00040
K00078	OCG05644	ko00980
K00078	OCG05644	ko01100
K00088	OCG00648	ko00230
K00088	OCG00648	ko01110
K00088	OCG00648	ko01100
K00088	OCG00648	ko00983
K00101	OCG00492	ko01100
K00101	OCG00492	ko00620
K00101	OCG00066	ko01100
K00101	OCG00066	ko00620
K00102	OCG00166	ko00620
K00102	OCG00166	ko01100
K00102	OCG03632	ko00620
K00102	OCG03632	ko01100
K00103	OCG08295	ko00053
K00103	OCG08295	ko01240
K00103	OCG08295	ko01100
K00107	OCG02421	ko01100
K00107	OCG02421	ko00053
K00108	UNI6788	ko01100
K00108	UNI6788	ko00260
K00108	OCG07674	ko01100
K00108	OCG07674	ko00260
K00108	OCG07672	ko01100
K00108	OCG07672	ko00260
K00108	OCG08207	ko01100
K00108	OCG08207	ko00260
K00109	OCG01521	ko01100
K00109	OCG01521	ko00650
K00111	OCG00581	ko00564
K00111	OCG00581	ko01110
K00121	OCG00416	ko01220
K00121	OCG00416	ko00010
K00121	OCG00416	ko04936
K00121	OCG00416	ko00625
K00121	OCG00416	ko00071
K00121	OCG00416	ko00830
K00121	OCG00416	ko01120
K00121	OCG00416	ko00980
K00121	OCG00416	ko00626
K00121	OCG00416	ko01110
K00121	OCG00416	ko00350
K00121	OCG00416	ko00620
K00121	OCG00416	ko01200
K00121	OCG00416	ko00680
K00121	OCG00416	ko01100
K00121	OCG00416	ko00982
K00122	UNI3764	ko01100
K00122	UNI3764	ko00630
K00122	UNI3764	ko00680
K00122	UNI3764	ko01200
K00122	UNI3764	ko01120
K00122	UNI3742	ko01100
K00122	UNI3742	ko00630
K00122	UNI3742	ko00680
K00122	UNI3742	ko01200
K00122	UNI3742	ko01120
K00122	OCG11059	ko01100
K00122	OCG11059	ko00630
K00122	OCG11059	ko00680
K00122	OCG11059	ko01200
K00122	OCG11059	ko01120
K00122	OCG05119	ko01100
K00122	OCG05119	ko00630
K00122	OCG05119	ko00680
K00122	OCG05119	ko01200
K00122	OCG05119	ko01120
K00122	OCG00097	ko01100
K00122	OCG00097	ko00630
K00122	OCG00097	ko00680
K00122	OCG00097	ko01200
K00122	OCG00097	ko01120
K00122	UNI5633	ko01100
K00122	UNI5633	ko00630
K00122	UNI5633	ko00680
K00122	UNI5633	ko01200
K00122	UNI5633	ko01120
K00122	UNI0472	ko01100
K00122	UNI0472	ko00630
K00122	UNI0472	ko00680
K00122	UNI0472	ko01200
K00122	UNI0472	ko01120
K00128	OCG01799	ko01240
K00128	OCG01799	ko00340
K00128	OCG01799	ko00410
K00128	OCG01799	ko01120
K00128	OCG01799	ko00330
K00128	OCG01799	ko04936
K00128	OCG01799	ko00280
K00128	OCG01799	ko00625
K00128	OCG01799	ko01110
K00128	OCG01799	ko00380
K00128	OCG01799	ko00903
K00128	OCG01799	ko00981
K00128	OCG01799	ko00053
K00128	OCG01799	ko00620
K00128	OCG01799	ko00071
K00128	OCG01799	ko00310
K00128	OCG01799	ko00561
K00128	OCG01799	ko00010
K00128	OCG01799	ko00770
K00128	OCG01799	ko01100
K00128	OCG02076	ko01240
K00128	OCG02076	ko00340
K00128	OCG02076	ko00410
K00128	OCG02076	ko01120
K00128	OCG02076	ko00330
K00128	OCG02076	ko04936
K00128	OCG02076	ko00280
K00128	OCG02076	ko00625
K00128	OCG02076	ko01110
K00128	OCG02076	ko00380
K00128	OCG02076	ko00903
K00128	OCG02076	ko00981
K00128	OCG02076	ko00053
K00128	OCG02076	ko00620
K00128	OCG02076	ko00071
K00128	OCG02076	ko00310
K00128	OCG02076	ko00561
K00128	OCG02076	ko00010
K00128	OCG02076	ko00770
K00128	OCG02076	ko01100
K00133	OCG00188	ko01120
K00133	OCG00188	ko00270
K00133	OCG00188	ko01100
K00133	OCG00188	ko01110
K00133	OCG00188	ko01230
K00133	OCG00188	ko01210
K00133	OCG00188	ko00300
K00133	OCG00188	ko00260
K00133	OCG00188	ko00261
K00133	UNI0275	ko01120
K00133	UNI0275	ko00270
K00133	UNI0275	ko01100
K00133	UNI0275	ko01110
K00133	UNI0275	ko01230
K00133	UNI0275	ko01210
K00133	UNI0275	ko00300
K00133	UNI0275	ko00260
K00133	UNI0275	ko00261
K00134	OCG00049	ko05132
K00134	OCG00049	ko05130
K00134	OCG00049	ko05415
K00134	OCG00049	ko01100
K00134	OCG00049	ko05010
K00134	OCG00049	ko01200
K00134	OCG00049	ko00010
K00134	OCG00049	ko00710
K00134	OCG00049	ko01120
K00134	OCG00049	ko04066
K00134	OCG00049	ko01230
K00134	OCG00049	ko01110
K00135	OCG00714	ko00350
K00135	OCG00714	ko00760
K00135	OCG00714	ko01100
K00135	OCG00714	ko00310
K00135	OCG00714	ko00250
K00135	OCG00714	ko00650
K00135	OCG00714	ko01120
K00135	OCG02942	ko00350
K00135	OCG02942	ko00760
K00135	OCG02942	ko01100
K00135	OCG02942	ko00310
K00135	OCG02942	ko00250
K00135	OCG02942	ko00650
K00135	OCG02942	ko01120
K00140	OCG03677	ko01100
