BestHit	Genus	No.Drug
T00494	Thermoanaerobacter	1
T00494	Pseudomonas	1
T00494	Laribacter	1
T00494	NA	1
T00494	Octadecabacter	1
T02119	Rhizobium	1
T03691	Kribbella	1
T03917	Mycoplasma	3
T03917	Ureaplasma	3
T03917	Corynebacterium	3
T03917	Veillonella	3
T03917	Lentisphaera	3
T03917	Oxalobacter	3
T03917	Enterococcus	3
T07137	Bacillus	1
T07137	Microscilla	1
T07137	Streptomyces	1
T07137	NA	1
T07137	Thermobispora	1
T07137	Pedobacter	1
T07137	Gemmata	1
T07137	Chloroflexus	1
T07137	Spirosoma	1
T07137	Chitinophaga	1
T07137	Maribacter	1
T07137	Croceibacter	1
T07137	Robiginitalea	1
T07137	Ktedonobacter	1
T07137	Gemmatimonas	1
T07137	Granulicella	1
T07137	Acidobacterium	1
T07137	Cyanothece	1
T07137	Polaribacter	1
T07137	Dyadobacter	1
T07137	Salinibacter	1
T07137	Rhizobium	1
T07137	Herpetosiphon	1
T07137	Sphingobacterium	1
T07137	Saccharomonospora	1
T07137	Gramella	1
T07137	Psychroflexus	1
T07137	Actinosynnema	1
T07137	Candidatus Solibacter	1
T07137	Kordia	1
T07137	Kytococcus	1
T07137	Chryseobacterium	1
T07137	Zunongwangia	1
T07137	Flavobacterium	1
T07137	Algoriphagus	1
T07137	Leeuwenhoekiella	1
T07137	Brevibacillus	1
T07137	Candidatus Koribacter	1
T07137	Streptosporangium	1
T07137	Nocardioides	1
T07137	Saccharopolyspora	1
T07137	Pseudomonas	1
T07137	Dokdonia	1
T07569	Hyphomicrobium	1
T07569	Neorickettsia	1
T07569	Methylosinus	1
T07569	Brucella	1
T07569	Rhodoferax	1
T07569	Azospirillum	1
T07569	Wolbachia	1
T07569	Rickettsia	1
T07569	Orientia	1
T07569	Candidatus Puniceispirillum	1
T07569	Beijerinckia	1
T07569	Hyphomonas	1
T07569	Rhodospirillum	1
T07569	Rhodobacter	1
T07569	Ochrobactrum	1
T07569	Erythrobacter	1
T07569	Sinorhizobium	1
T07569	NA	1
T07569	Aurantimonas	1
T07569	Labrenzia	1
T07569	Bermanella	1
T07569	Beggiatoa	1
T07569	Ehrlichia	1
T07569	Asticcacaulis	1
T07569	Caulobacter	1
T07569	Pseudovibrio	1
T07569	Parvibaculum	1
T07569	Rhizobium	1
T07569	Rhodomicrobium	1
T07569	Xanthobacter	1
T07569	Anaplasma	1
T07569	Roseomonas	1
T07569	Magnetospirillum	1
T07569	Azorhizobium	1
T07569	Methylocella	1
T07569	Magnetococcus	1
T07569	Sphingomonas	1
T07569	Candidatus Endoriftia	1
T07569	Starkeya	1
T07569	Mesorhizobium	1
T07569	Azotobacter	1
T07569	Oceanicaulis	1
T07569	Brevundimonas	1
T07569	Methylovorus	1
T07569	Herminiimonas	1
T07569	Mariprofundus	1
T07569	Fulvimarina	1
T07569	Sphingopyxis	1
T07569	Laribacter	1
T07569	Methylobacterium	1
T07569	Chelativorans	1
T07569	Stenotrophomonas	1
T07569	Alicycliphilus	1
T07569	Parvularcula	1
T07569	Psychroflexus	1
T07569	Candidatus Pelagibacter	1
T07569	Novosphingobium	1
T07569	Thiobacillus	1
