gene	KO	pathway	description
OCG00001	K08711	map02010	ABC transporters
OCG00001	K08712	map02010	ABC transporters
OCG00004	K03010	map03020	RNA polymerase
OCG00005	K00706	map00500	Starch and sucrose metabolism
OCG00005	K00706	map01100	Metabolic pathways
OCG00005	K00706	map04011	MAPK signaling pathway - yeast
OCG00006	K03018	map03020	RNA polymerase
OCG00008	K12854	map03040	Spliceosome
OCG00010	K08139	map04113	Meiosis - yeast
OCG00013	K01895	map00010	Glycolysis / Gluconeogenesis
OCG00013	K01895	map00620	Pyruvate metabolism
OCG00013	K01895	map00630	Glyoxylate and dicarboxylate metabolism
OCG00013	K01895	map00640	Propanoate metabolism
OCG00013	K01895	map00680	Methane metabolism
OCG00013	K01895	map01100	Metabolic pathways
OCG00013	K01895	map01110	Biosynthesis of secondary metabolites
OCG00013	K01895	map01200	Carbon metabolism
OCG00014	K01568	map00010	Glycolysis / Gluconeogenesis
OCG00014	K01568	map01100	Metabolic pathways
OCG00014	K01568	map01110	Biosynthesis of secondary metabolites
OCG00016	K02957	map03010	Ribosome
OCG00021	K03097	map03008	Ribosome biogenesis in eukaryotes
OCG00021	K03097	map04139	Mitophagy - yeast
OCG00023	K04043	map03018	RNA degradation
OCG00025	K02154	map00190	Oxidative phosphorylation
OCG00025	K02154	map01100	Metabolic pathways
OCG00025	K02154	map04145	Phagosome
OCG00026	K00698	map00520	Amino sugar and nucleotide sugar metabolism
OCG00026	K00698	map01100	Metabolic pathways
OCG00027	K17450	map00300	Lysine biosynthesis
OCG00027	K17450	map01100	Metabolic pathways
OCG00027	K17450	map01110	Biosynthesis of secondary metabolites
OCG00027	K17450	map01210	2-Oxocarboxylic acid metabolism
OCG00027	K17450	map01230	Biosynthesis of amino acids
OCG00030	K00232	map00071	Fatty acid degradation
OCG00030	K00232	map00410	beta-Alanine metabolism
OCG00030	K00232	map00592	alpha-Linolenic acid metabolism
OCG00030	K00232	map00640	Propanoate metabolism
OCG00030	K00232	map01040	Biosynthesis of unsaturated fatty acids
OCG00030	K00232	map01100	Metabolic pathways
OCG00030	K00232	map01110	Biosynthesis of secondary metabolites
OCG00030	K00232	map01200	Carbon metabolism
OCG00030	K00232	map01212	Fatty acid metabolism
OCG00030	K00232	map04146	Peroxisome
OCG00033	K07750	map00100	Steroid biosynthesis
OCG00033	K07750	map01100	Metabolic pathways
OCG00033	K07750	map01110	Biosynthesis of secondary metabolites
OCG00034	K10807	map00230	Purine metabolism
OCG00034	K10807	map00240	Pyrimidine metabolism
OCG00034	K10807	map00480	Glutathione metabolism
OCG00034	K10807	map01100	Metabolic pathways
OCG00034	K10807	map01232	Nucleotide metabolism
OCG00035	K03283	map03040	Spliceosome
OCG00035	K03283	map04141	Protein processing in endoplasmic reticulum
OCG00035	K03283	map04144	Endocytosis
OCG00035	K03283	map04213	Longevity regulating pathway - multiple species
OCG00036	K00031	map00020	Citrate cycle (TCA cycle)
OCG00036	K00031	map00480	Glutathione metabolism
OCG00036	K00031	map01100	Metabolic pathways
OCG00036	K00031	map01110	Biosynthesis of secondary metabolites
OCG00036	K00031	map01200	Carbon metabolism
OCG00036	K00031	map01210	2-Oxocarboxylic acid metabolism
OCG00036	K00031	map01230	Biosynthesis of amino acids
OCG00036	K00031	map04146	Peroxisome
OCG00037	K00850	map00010	Glycolysis / Gluconeogenesis
OCG00037	K00850	map00030	Pentose phosphate pathway
OCG00037	K00850	map00051	Fructose and mannose metabolism
OCG00037	K00850	map00052	Galactose metabolism
OCG00037	K00850	map00680	Methane metabolism
OCG00037	K00850	map01100	Metabolic pathways
OCG00037	K00850	map01110	Biosynthesis of secondary metabolites
OCG00037	K00850	map01200	Carbon metabolism
OCG00037	K00850	map01230	Biosynthesis of amino acids
OCG00037	K00850	map03018	RNA degradation
OCG00039	K00134	map00010	Glycolysis / Gluconeogenesis
OCG00039	K00134	map01100	Metabolic pathways
OCG00039	K00134	map01110	Biosynthesis of secondary metabolites
OCG00039	K00134	map01200	Carbon metabolism
OCG00039	K00134	map01230	Biosynthesis of amino acids
OCG00040	K06067	map04213	Longevity regulating pathway - multiple species
OCG00041	K00006	map00564	Glycerophospholipid metabolism
OCG00041	K00006	map01110	Biosynthesis of secondary metabolites
OCG00041	K00006	map04011	MAPK signaling pathway - yeast
OCG00044	K04564	map04146	Peroxisome
OCG00044	K04564	map04213	Longevity regulating pathway - multiple species
OCG00046	K18107	map00040	Pentose and glucuronate interconversions
OCG00046	K18107	map01100	Metabolic pathways
OCG00050	K01655	map00300	Lysine biosynthesis
OCG00050	K01655	map00620	Pyruvate metabolism
OCG00050	K01655	map01100	Metabolic pathways
OCG00050	K01655	map01110	Biosynthesis of secondary metabolites
OCG00050	K01655	map01210	2-Oxocarboxylic acid metabolism
OCG00050	K01655	map01230	Biosynthesis of amino acids
OCG00051	K00101	map00620	Pyruvate metabolism
OCG00051	K00101	map01100	Metabolic pathways
OCG00052	K02987	map03010	Ribosome
OCG00053	K00288	map00670	One carbon pool by folate
OCG00053	K00288	map01100	Metabolic pathways
OCG00053	K00288	map01240	Biosynthesis of cofactors
OCG00056	K15728	map00561	Glycerolipid metabolism
OCG00056	K15728	map00564	Glycerophospholipid metabolism
OCG00056	K15728	map01100	Metabolic pathways
OCG00056	K15728	map01110	Biosynthesis of secondary metabolites
OCG00057	K01117	map00600	Sphingolipid metabolism
OCG00057	K01117	map01100	Metabolic pathways
OCG00058	K17647	map01110	Biosynthesis of secondary metabolites
OCG00060	K03231	map03013	Nucleocytoplasmic transport
OCG00061	K01256	map00480	Glutathione metabolism
OCG00061	K01256	map01100	Metabolic pathways
OCG00066	K00626	map00071	Fatty acid degradation
OCG00066	K00626	map00280	Valine, leucine and isoleucine degradation
OCG00066	K00626	map00310	Lysine degradation
OCG00066	K00626	map00380	Tryptophan metabolism
OCG00066	K00626	map00620	Pyruvate metabolism
OCG00066	K00626	map00630	Glyoxylate and dicarboxylate metabolism
OCG00066	K00626	map00650	Butanoate metabolism
OCG00066	K00626	map00900	Terpenoid backbone biosynthesis
OCG00066	K00626	map01100	Metabolic pathways
OCG00066	K00626	map01110	Biosynthesis of secondary metabolites
OCG00066	K00626	map01200	Carbon metabolism
OCG00066	K00626	map01212	Fatty acid metabolism
OCG00067	K02942	map03010	Ribosome
OCG00068	K02936	map03010	Ribosome
OCG00069	K11187	map04146	Peroxisome
OCG00069	K14171	map04122	Sulfur relay system
OCG00071	K00826	map00270	Cysteine and methionine metabolism
OCG00071	K00826	map00280	Valine, leucine and isoleucine degradation
OCG00071	K00826	map00290	Valine, leucine and isoleucine biosynthesis
OCG00071	K00826	map00770	Pantothenate and CoA biosynthesis
OCG00071	K00826	map01100	Metabolic pathways
OCG00071	K00826	map01110	Biosynthesis of secondary metabolites
OCG00071	K00826	map01210	2-Oxocarboxylic acid metabolism
OCG00071	K00826	map01230	Biosynthesis of amino acids
OCG00071	K00826	map01240	Biosynthesis of cofactors
OCG00073	K00128	map00010	Glycolysis / Gluconeogenesis
OCG00073	K00128	map00053	Ascorbate and aldarate metabolism
OCG00073	K00128	map00071	Fatty acid degradation
OCG00073	K00128	map00280	Valine, leucine and isoleucine degradation
OCG00073	K00128	map00310	Lysine degradation
OCG00073	K00128	map00330	Arginine and proline metabolism
OCG00073	K00128	map00340	Histidine metabolism
OCG00073	K00128	map00380	Tryptophan metabolism
OCG00073	K00128	map00410	beta-Alanine metabolism
OCG00073	K00128	map00561	Glycerolipid metabolism
OCG00073	K00128	map00620	Pyruvate metabolism
OCG00073	K00128	map00770	Pantothenate and CoA biosynthesis
OCG00073	K00128	map01100	Metabolic pathways
OCG00073	K00128	map01110	Biosynthesis of secondary metabolites
OCG00073	K00128	map01240	Biosynthesis of cofactors
OCG00073	K00129	map00010	Glycolysis / Gluconeogenesis
OCG00073	K00129	map00340	Histidine metabolism
OCG00073	K00129	map00350	Tyrosine metabolism
OCG00073	K00129	map00360	Phenylalanine metabolism
OCG00073	K00129	map00410	beta-Alanine metabolism
