k_id	gene_id
K08711	OCG00001
K10761	OCG00001
K15082	OCG00001
K00698	OCG00002
K11493	OCG00002
K00706	OCG00005
K14644	OCG00005
K03010	OCG00008
K03018	OCG00009
K11294	OCG00009
K03305	OCG00010
K08139	OCG00011
K12854	OCG00012
K21850	OCG00013
K19791	OCG00014
K13237	OCG00015
K01895	OCG00016
K11786	OCG00017
K01530	OCG00018
K14402	OCG00018
K02355	OCG00020
K22698	OCG00020
K00844	OCG00020
K15278	OCG00020
K08956	OCG00021
K14430	OCG00022
K14445	OCG00022
K11254	OCG00023
K04043	OCG00024
K02154	OCG00025
K00939	OCG00025
K01536	OCG00026
K12832	OCG00026
K14293	OCG00027
K00232	OCG00028
K02957	OCG00029
K03097	OCG00031
K20475	OCG00032
K15255	OCG00032
K07750	OCG00033
K10807	OCG00034
K00525	OCG00034
K17450	OCG00035
K03283	OCG00036
K23856	OCG00037
K00432	OCG00037
K00850	OCG00038
K01655	OCG00039
K11253	OCG00040
K06067	OCG00042
K08192	OCG00043
K00031	OCG00044
K15114	OCG00044
K12350	OCG00045
K05756	OCG00045
K00288	OCG00046
K21751	OCG00046
K07034	OCG00047
K02987	OCG00048
K00134	OCG00049
K00826	OCG00050
K00006	OCG00051
K08158	OCG00052
K18107	OCG00054
K18097	OCG00054
K03231	OCG00055
K14171	OCG00056
K07101	OCG00060
K00234	OCG00061
K00239	OCG00061
K20989	OCG00062
K18466	OCG00062
K11121	OCG00063
K01078	OCG00064
K00008	OCG00065
K07208	OCG00065
K00101	OCG00066
K23107	OCG00067
K10808	OCG00069
K00526	OCG00069
K01301	OCG00070
K01897	OCG00071
K02142	OCG00071
K06911	OCG00072
K07937	OCG00073
K07942	OCG00073
K07975	OCG00076
K02942	OCG00077
K13721	OCG00078
K00015	OCG00079
K01679	OCG00080
K22285	OCG00081
K17080	OCG00082
K03448	OCG00083
K01262	OCG00084
K22063	OCG00084
K00626	OCG00085
K24160	OCG00086
K04564	OCG00087
K01293	OCG00088
K19245	OCG00089
