Pop	Pop_ID	Indi_id	gene_id	BestHit	Type	relat_abundance	Description	Evalue	QueryLength	HitLength	HSPlength	PercentIdentity	QueryCover	HitCover
AU	Aus	A.ERR505092	gene_id_125266	gene_id_2640468	besthit_gene_uni	9.71e-6	Full_name	7e-7	37	42	23	56.52	0.6216216216216216	0.5476190476190477
AU	Aus	A.ERR505100	gene_id_106249	gene_id_2640468	besthit_gene_uni	4e-7	Full_name	2e-6	46	42	24	50	0.5217391304347826	0.5714285714285714
CN1	EBH	E.SRR341624	gene_id_14005	gene_id_145118	besthit_gene_uni	0	Full_name	2e-16	29	32	28	100	0.9655172413793104	0.875
CN1	EBH	E.SRR341637	gene_id_43869	gene_id_2640468	besthit_gene_uni	0	Full_name	3e-15	24	42	24	100	1	0.5714285714285714
CN1	EBH	E.SRR341642	gene_id_5247	gene_id_2640468	besthit_gene_uni	1.28e-6	Full_name	3e-8	39	42	28	53.57	0.717948717948718	0.6666666666666666
CN1	EBH	E.SRR341643	gene_id_27474	gene_id_2640468	besthit_gene_uni	1.13e-6	Full_name	3e-16	41	42	33	78.79	0.8048780487804879	0.7857142857142857
CN1	EBH	E.SRR341648	gene_id_18160	gene_id_2640468	besthit_gene_uni	0	Full_name	2e-6	31	42	24	45.83	0.7741935483870968	0.5714285714285714
CN1	EBH	E.SRR341651	gene_id_20866	gene_id_2640468	besthit_gene_uni	3.1e-6	Full_name	2e-7	46	42	23	52.17	0.5	0.5476190476190477
CN1	EBH	E.SRR341692	gene_id_36915	gene_id_2640468	besthit_gene_uni	0	Full_name	2e-7	24	42	21	61.9	0.875	0.5
CN1	EBH	E.SRR341703	gene_id_33459	gene_id_1305303	besthit_gene_uni	0	Full_name	8e-19	32	32	32	100	1	1
CN1	EBH	E.SRR341703	gene_id_45197	gene_id_145118	besthit_gene_uni	0	Full_name	2e-16	29	32	28	100	0.9655172413793104	0.875
CN1	EBH	E.SRR341713	gene_id_42729	gene_id_145118	besthit_gene_uni	0	Full_name	2e-16	29	32	28	100	0.9655172413793104	0.875
CN1	EBH2	E.SRR413595	gene_id_16114	gene_id_2640468	besthit_gene_uni	4.181e-5	Full_name	2e-6	39	42	24	50	0.6153846153846154	0.5714285714285714
DK	DNK	D.MH0039	GL0114597	gene_id_2640468	besthit_gene_uni	5.14e-6	Full_name	2e-7	41	42	23	52.17	0.5609756097560976	0.5476190476190477
FR	Fra	F.S194	gene_id_19466	gene_id_2640468	besthit_gene_uni	1.4e-6	Full_name	3e-8	39	42	28	53.57	0.717948717948718	0.6666666666666666
